image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_x,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9
sim-15-1-0.01-0.2-5-1.3-0.09-2-20.rsml.jpg,1.1853334,0.3133165,0.08466667,114513.695,6058.916,58.42,117.77133,0.496046,0.6519706,0.34768435,0.18231744,0.3567536,0.24078421,0.1267712,0.35135967,0.21539365,0.120399095,0.09295436,14.209261,31.0,977.7027,5100.0,648.2759,2700.0,244.82759,600.0,104.5977,200.0,958.1818,14500.0,0.70289856,0.27101448,0.046376813,0.7695652,0.8028985,0.82608694,0.79275364,0.84347826,0.87826085,0.81884056
sim-15-1-0.01-0.2-5-1.3-0.09-3-20.rsml.jpg,0.917575,0.29360178,0.0917575,117449.6,6036.4507,68.542854,108.09034,0.63412565,0.40714228,0.33825564,0.19564655,0.3163543,0.23516804,0.19570737,0.35503975,0.17258729,0.09632602,0.05821819,16.002142,42.0,1029.3651,4700.0,816.32654,3800.0,288.43536,1400.0,100.0,100.0,841.8994,8900.0,0.30789825,0.1124498,0.06693441,0.37884873,0.34136546,0.36278448,0.40026775,0.9651941,0.6961178,0.39759037
sim-15-1-0.01-0.2-5-1.3-0.09-4-20.rsml.jpg,0.95694506,0.27126545,0.086995006,111353.6,5423.1816,64.98527,101.34918,0.64120173,0.386881,0.34611857,0.22772262,0.25804073,0.2676655,0.18014406,0.33810297,0.18304753,0.067469805,0.05787709,16.919823,43.0,1015.44714,9100.0,745.2055,2000.0,306.1644,900.0,100.0,100.0,814.6479,8700.0,0.31860778,0.12717536,0.026773762,0.33199465,0.29852745,0.32128513,0.35341364,0.8433735,0.6171352,0.40562248
sim-15-1-0.01-0.2-5-1.3-0.09-5-20.rsml.jpg,0.9801225,0.29723182,0.1089025,69697.6,2780.6074,82.9837,64.25247,1.2915255,0.6240208,0.33677214,0.31664905,0.30928603,0.19171269,0.10269064,0.39486155,0.19288763,0.10468805,0.059609134,26.985353,23.0,728.3333,1700.0,558.1081,900.0,252.7027,500.0,100.0,100.0,291.37466,5300.0,0.62204725,0.39370078,0.0839895,0.63254595,0.67979,0.6968504,0.65091866,0.97637796,0.84908134,0.6889764
sim-15-1-0.01-0.2-5-1.3-0.11-1-20.rsml.jpg,0.97906417,0.2907865,0.08900583,113927.46,7191.938,66.66537,110.10021,0.6054972,0.4488751,0.3424107,0.19276512,0.27502692,0.26796034,0.2329864,0.346002,0.14177692,0.115181364,0.061804637,24.104803,75.0,1217.037,11300.0,690.9677,2600.0,276.12903,700.0,116.77419,200.0,951.12994,9200.0,0.4058745,0.14819759,0.037383176,0.5033378,0.58077437,0.6048064,0.8130841,0.7009346,0.77837116,0.48598132
sim-15-1-0.01-0.2-5-1.3-0.11-2-20.rsml.jpg,1.4393333,0.3274643,0.08466667,142280.64,10398.591,62.992,140.88533,0.4471154,0.58830243,0.34111235,0.2466658,0.33497533,0.24789526,0.10423554,0.35923886,0.22343631,0.14882183,0.10970704,12.237057,44.0,1423.9131,9800.0,789.9039,2200.0,281.25,900.0,131.73077,200.0,1426.0504,14100.0,0.5403226,0.17069893,0.37903225,0.67069894,0.8467742,0.87768817,0.77150536,0.733871,0.8010753,0.6182796
sim-15-1-0.01-0.2-5-1.3-0.11-3-20.rsml.jpg,1.3469408,0.39466053,0.10361083,132621.86,6772.004,79.158676,126.301605,0.62674326,0.60739976,0.3390697,0.27141982,0.2866126,0.21669216,0.17556609,0.35988373,0.19153917,0.10738984,0.06386169,17.053593,66.0,1084.8485,4100.0,701.3158,1700.0,274.3421,400.0,100.0,100.0,827.5862,9200.0,0.5209424,0.18848167,0.10602094,0.67801046,0.67277485,0.6937173,0.69895285,0.91753924,0.83507854,0.5968586
sim-15-1-0.01-0.2-5-1.3-0.11-4-20.rsml.jpg,1.3919201,0.33311838,0.086995006,111353.6,7979.1816,65.50724,108.395775,0.6043339,0.4796754,0.34992394,0.2043502,0.26462057,0.25526604,0.20776276,0.33323157,0.15331444,0.06523114,0.05432839,36.314484,80.0,1460.7407,6300.0,853.8461,2300.0,316.02563,800.0,130.1282,200.0,1101.105,8300.0,0.43957505,0.19256309,0.124834,0.025232404,0.5989376,0.62682605,0.5325365,0.9667995,0.8565737,0.51128817
sim-15-1-0.01-0.2-5-1.3-0.11-5-20.rsml.jpg,1.27,0.3466842,0.08466667,123507.836,9181.507,51.308,142.24,0.3607143,0.48626846,0.34760985,0.26235902,0.26250657,0.22284518,0.1901552,0.34566545,0.18390307,0.11481608,0.072157726,9.778361,36.0,1067.9348,10600.0,624.2857,3000.0,300.9524,1500.0,100.0,100.0,1471.378,11700.0,0.55775577,0.31518152,0.06270627,0.4240924,0.43234324,0.46369636,0.4570957,0.44059405,0.9141914,0.6386139
sim-15-1-0.01-0.2-5-1.3-0.13-1-20.rsml.jpg,1.457325,0.39115232,0.097155,124358.4,9856.472,74.80935,126.107185,0.59322035,0.585586,0.34910157,0.19478369,0.27823284,0.26484707,0.18237376,0.32157397,0.16528176,0.09089117,0.001971395,33.85144,186.0,1400.6945,12300.0,925.30865,2500.0,304.93826,900.0,100.0,100.0,1158.3107,10400.0,0.5181818,0.22467533,0.087012984,0.85584414,0.89350647,0.9207792,0.8948052,0.8987013,0.8428571,0.58181816
sim-15-1-0.01-0.2-5-1.3-0.13-2-20.rsml.jpg,1.9558,0.45912072,0.09779,125171.2,9024.844,74.02703,127.12701,0.5823077,0.6044792,0.34148788,0.28428397,0.35318786,0.20549801,0.10473734,0.3496446,0.23192614,0.15714936,0.10465066,33.15971,188.0,1388.1945,3100.0,789.57056,3200.0,217.17792,1100.0,115.337425,200.0,1033.1522,11300.0,0.5970938,0.21136063,0.5627477,0.5653897,0.5891678,0.61558783,0.7648613,0.71862614,0.95244384,0.661823
sim-15-1-0.01-0.2-5-1.3-0.13-3-20.rsml.jpg,1.0220326,0.3392746,0.11355917,145355.75,9810.49,85.85074,145.35574,0.590625,0.4011628,0.33988383,0.24155293,0.29310924,0.25507286,0.15381232,0.35806972,0.17622206,0.10443217,0.06577074,27.305908,114.0,1453.8462,10100.0,903.75,3000.0,335.625,800.0,111.25,200.0,1180.0554,7400.0,0.44179896,0.10846561,0.074074075,0.0,0.15608466,0.17989418,0.30555555,0.9537037,0.7473545,0.50396824
sim-15-1-0.01-0.2-5-1.3-0.13-4-20.rsml.jpg,1.417955,0.43627623,0.128905,164998.4,8785.134,99.901375,165.38512,0.604053,0.4741153,0.34780502,0.21965607,0.25085104,0.24338244,0.23876041,0.322397,0.18313476,0.065559335,0.058751028,25.938385,145.0,919.58044,3600.0,643.125,1600.0,262.5,600.0,105.0,200.0,802.91003,15300.0,0.5845161,0.32903227,0.076129034,0.51870966,0.43225807,0.45419356,0.53935486,0.5354839,0.8967742,0.64
sim-15-1-0.01-0.2-5-1.3-0.13-5-20.rsml.jpg,1.782445,0.41993582,0.12731749,162966.39,9696.628,97.01593,166.14934,0.583908,0.4134723,0.33295268,0.25829494,0.30313414,0.20316172,0.19741075,0.36948043,0.16149998,0.1296858,0.0651252,28.827538,140.0,1327.2109,4200.0,636.8098,3500.0,277.30063,800.0,100.0,100.0,956.0109,7000.0,0.4593176,0.18503937,0.022309711,0.328084,0.26377952,0.28608924,0.3503937,0.48425198,0.8897638,0.5144357
sim-15-1-0.01-0.2-5-1.3-0.15-1-20.rsml.jpg,1.3839825,0.41570026,0.15377584,98416.54,5795.504,120.09893,101.03072,1.1887367,0.4512868,0.34983456,0.27457017,0.29404584,0.20704202,0.19435894,0.34583953,0.21298556,0.09647633,0.05365103,44.286503,54.0,1008.3333,2700.0,662.1951,1600.0,326.82925,500.0,123.17073,300.0,426.1658,2800.0,0.503201,0.23175415,0.14212549,0.058898848,0.25608194,0.2752881,0.3277849,0.9346991,0.78361076,0.54801536
sim-15-1-0.01-0.2-5-1.3-0.15-2-20.rsml.jpg,2.2639868,0.6338754,0.14149918,181118.94,12493.104,112.916336,188.6184,0.5986497,0.54274166,0.3327059,0.25910908,0.28365293,0.24258418,0.17643927,0.3689051,0.16309702,0.091878,0.051590763,20.22315,115.0,1320.7792,4500.0,775.4491,2700.0,374.2515,1700.0,113.77245,200.0,1052.405,10400.0,0.518797,0.23182957,0.1754386,0.53258145,0.5714286,0.59398496,0.97117794,0.9235589,0.80075186,0.56390977
sim-15-1-0.01-0.2-5-1.3-0.15-3-20.rsml.jpg,2.042054,0.46069652,0.12012082,153754.66,11631.78,93.33388,159.52046,0.58509034,0.5959585,0.3484329,0.2239606,0.29493773,0.23702419,0.16007808,0.329027,0.19877316,0.08369994,0.053256087,28.112806,174.0,1490.0,6200.0,848.19275,2700.0,342.7711,1400.0,130.72289,200.0,1197.8723,11700.0,0.5894466,0.24581724,0.03989704,0.54697555,0.55984557,0.5842986,0.9111969,0.9099099,0.8069498,0.64221364
sim-15-1-0.01-0.2-5-1.3-0.15-4-20.rsml.jpg,2.587519,0.48736188,0.112500824,144001.06,10754.292,85.27563,148.2761,0.57511383,0.42764354,0.35488793,0.26423484,0.32429153,0.23716171,0.15036666,0.34251463,0.2239076,0.12072013,0.102810875,25.07988,110.0,1275.8389,3900.0,930.30304,2900.0,298.78787,2200.0,127.878784,200.0,1124.5902,9100.0,0.41952506,0.16490765,0.12005277,0.3707124,0.57387865,0.6015831,0.5131926,0.9841689,0.80474937,0.47493404
sim-15-1-0.01-0.2-5-1.3-0.15-5-20.rsml.jpg,1.39573,0.42101544,0.116310835,148877.86,11317.16,89.0941,154.11185,0.5781132,0.57498103,0.35370868,0.21175528,0.27912354,0.26554713,0.18871337,0.32398432,0.1951984,0.11077995,0.05498402,32.861973,144.0,1283.8926,6400.0,904.8193,3700.0,336.1446,1600.0,131.9277,200.0,1118.1572,10400.0,0.45953003,0.30156657,0.023498695,0.72845954,0.70887727,0.73498696,0.8981723,0.79765016,0.80809397,0.5091384
sim-15-1-0.01-0.2-5-1.3-0.17-1-20.rsml.jpg,2.96037,0.4800112,0.1057275,202996.81,20822.08,78.76699,214.62683,0.36699507,0.48241892,0.34748024,0.19890729,0.283491,0.23979771,0.21269822,0.31361678,0.17165548,0.085421525,0.052426867,30.298777,74.0,1745.9227,13600.0,1041.3386,5800.0,390.9449,1900.0,132.28346,200.0,2271.469,13100.0,0.4805369,0.14630872,0.05637584,0.33154362,0.27919462,0.31140938,0.9234899,0.8013423,0.914094,0.5288591
sim-15-1-0.01-0.2-5-1.3-0.17-2-20.rsml.jpg,2.221018,0.52860355,0.15864415,203064.52,14806.735,124.218376,216.70792,0.5732064,0.51631516,0.340838,0.24890447,0.30176893,0.2151222,0.15975057,0.34098336,0.20414001,0.14545766,0.0688181,34.893593,108.0,1557.595,9900.0,915.7895,3600.0,423.9766,3400.0,114.61988,200.0,1281.6273,13700.0,0.6028097,0.1890166,0.07279693,0.0025542784,0.51979566,0.541507,0.6270754,0.72158366,0.9412516,0.6475096
sim-15-1-0.01-0.2-5-1.3-0.17-3-20.rsml.jpg,1.515745,0.4143242,0.137795,176377.6,13729.067,104.999794,186.02325,0.5644444,0.35348263,0.33719096,0.22337756,0.24057049,0.24309975,0.21993496,0.34494248,0.14393681,0.08398739,0.027149366,27.423843,126.0,1534.6405,6900.0,734.3195,2000.0,366.2722,2800.0,131.95267,200.0,1219.6185,7300.0,0.4304462,0.09973753,0.056430448,0.002624672,0.12073491,0.14435695,0.19816273,0.63779527,0.84514433,0.49343833
sim-15-1-0.01-0.2-5-1.3-0.17-4-20.rsml.jpg,3.3819041,0.7133075,0.096625835,185521.6,21121.828,75.1749,196.82683,0.38193423,0.48350248,0.3553595,0.22085236,0.31420806,0.28591818,0.100240625,0.30660036,0.23153426,0.13242358,0.060966905,30.438107,77.0,1885.4077,4800.0,1077.2549,7100.0,418.43137,5400.0,134.90196,200.0,2259.4736,15200.0,0.38046274,0.16195373,0.18251929,0.47943446,0.96015424,0.9987146,0.811054,0.58868897,0.6606684,0.43830335
sim-15-1-0.01-0.2-5-1.3-0.17-5-20.rsml.jpg,2.066925,0.49310642,0.11482917,146981.34,13203.402,86.69602,156.2825,0.5547392,0.51070094,0.34326497,0.23177339,0.30209684,0.25327224,0.15384014,0.34437266,0.20507379,0.088456556,0.08455163,53.200283,117.0,1689.6774,6700.0,995.8823,6800.0,330.58823,2100.0,134.11765,200.0,1430.854,14600.0,0.44900662,0.056953643,0.28741723,0.29403973,0.3165563,0.34701988,0.58145696,0.9218543,0.818543,0.5033113
