image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-1.2-0.01-0.4-4-1.3-0.5-1-10.rsml,730.402,8,387,48.898,1.47,0.374,29,325,11.697,0.738,66.087
sim-15-1.1-0.01-0.8-4-1.3-0.2-3-20.rsml,7758.415,15,1156,77.633,0.939,0.321,181,6500,36.43,0.804,60.418
sim-15-1.2-0.01-0.1-4-1.3-0.95-1-10.rsml,1237.649,9,870,97.072,2.748,0.289,42,343,8.667,0.532,60.53
sim-15-0.8-0.01-0.8-4-1.3-0.6-2-10.rsml,1034.974,5,304,61.242,1.665,0.338,38,707,19.178,1.266,65.851
sim-15-1.2-0.01-0.7-4-1.3-0.15-3-10.rsml,55.061,4,52,13.765,0.512,0,0,0,0,0,0
sim-15-1.1-0.01-0.1-4-1.3-0.85-1-5.rsml,88.807,3,87,29.602,1.515,0,0,0,0,0,0
sim-15-0.9-0.01-0.2-4-1.3-0.2-4-10.rsml,57.609,4,56,14.402,0.55,0,0,0,0,0,0
sim-15-1.2-0.01-0.3-4-1.3-0.95-4-15.rsml,16720.305,15,2681,179.233,2.759,0.293,443,13788,31.675,0.957,55.952
sim-15-1.3-0.01-0.1-4-1.3-0.85-1-15.rsml,7405.689,16,2877,180.312,3.18,0.256,305,4365,14.822,0.569,59.972
sim-15-0.8-0.01-0.5-4-1.3-0.35-5-5.rsml,9.599,1,9,9.599,0.596,0,0,0,0,0,0
sim-15-1.4-0.01-0.2-4-1.3-0.3-5-5.rsml,9.997,1,9,9.997,0.558,0,0,0,0,0,0
sim-15-1.4-0.01-0.5-4-1.3-0.9-4-15.rsml,19261.652,16,2363,148.202,1.453,0.312,431,16657,39.189,0.758,59.668
sim-15-0.9-0.01-0.1-4-1.3-0.55-5-15.rsml,2533.507,10,1244,125.025,2.759,0.311,110,1232,11.666,0.595,64.554
sim-15-1.3-0.01-0.1-4-1.3-0.45-3-15.rsml,2742.678,15,1534,102.857,2.428,0.317,117,1143,10.255,0.57,68.741
sim-15-0.6-0.01-0.1-4-1.3-0.2-4-15.rsml,201.075,6,190,32.192,0.962,0,1,7,7.925,0.384,41.134
sim-15-0.5-0.01-0.6-4-1.3-0.7-1-15.rsml,6602.785,6,803,134.231,1.673,0.27,131,5724,44.255,1.057,53.447
sim-15-1.4-0.01-0.5-4-1.3-0.7-4-10.rsml,2165.522,11,751,68.846,2.077,0.341,82,1359,17.173,1.107,58.68
sim-15-0.8-0.01-0.3-4-1.3-0.4-4-5.rsml,9.98,1,9,9.98,0.683,0,0,0,0,0,0
sim-15-1.4-0.01-0.4-4-1.3-0.85-3-15.rsml,17462.393,16,2578,161.769,2.038,0.3,427,14648,34.834,0.895,57.642
