image,diam_max,diam_mean,diam_mode,length,area,width,depth,width_depth_ratio,com_x,com_y,ellips_025,ellips_050,ellips_075,ellips_100,rect_020,rect_040,rect_060,rect_080,directionality,tip_count,cross_hori_0_mean,cross_hori_0_max,cross_hori_1_mean,cross_hori_1_max,cross_hori_2_mean,cross_hori_2_max,cross_hori_3_mean,cross_hori_3_max,cross_vert_mean,cross_vert_max,coord_x0,coord_x1,coord_x2,coord_x3,coord_x4,coord_x5,coord_x6,coord_x7,coord_x8,coord_x9
sim-15-1-0.01-0.7-4-1.3-0.5-4-20.rsml.jpg,1.3127567,0.37810087,0.32818916,210041.06,22429.104,260.254,234.98343,1.1075419,0.5086638,0.32621393,0.2020134,0.8260074,1.7372187,2.7592256,0.55814874,0.5320594,0.6520295,0.7717948,39.124653,440.0,3037.3494,6600.0,4306.6665,6700.0,1502.2222,4100.0,293.33334,1300.0,2112.4324,8200.0,0.36948296,0.060529634,0.19041614,0.26229507,0.5788146,0.5838588,0.6267339,0.8587642,0.88020176,0.5662043
sim-15-0.5-0.01-0.5-4-1.3-1-1-10.rsml.jpg,2.0404665,0.8886649,0.12752916,163237.33,14894.386,101.64074,168.72108,0.6024187,0.44965553,0.3238704,0.22725016,0.89893144,2.0057967,2.9174602,0.5723594,0.6195287,0.74674636,0.8419498,40.05726,39.0,1346.9799,4800.0,826.0606,3000.0,274.54544,1400.0,100.0,100.0,1031.2977,10200.0,0.38017565,0.12797992,0.35759097,0.35759097,0.3601004,0.3939774,0.3902133,0.5909661,0.7867001,0.42158094
sim-15-1.5-0.01-0.5-4-1.3-0.9-1-20.rsml.jpg,2.8108275,0.49231339,0.31231415,399762.12,69379.66,248.60208,464.72348,0.53494626,0.49760848,0.30732954,0.064947985,0.3754361,1.0329691,1.7481937,0.24164179,0.23675314,0.36324596,0.462365,35.65567,657.0,4185.5557,7700.0,4665.0537,8300.0,1829.0322,4500.0,394.08603,2100.0,5551.226,18600.0,0.459799,0.06155779,0.19849247,0.3316583,0.38442212,0.3919598,0.70477384,0.79899496,0.92462313,0.55150753
sim-15-0.5-0.01-0.7-4-1.3-0.3-2-20.rsml.jpg,1.2594167,0.35687703,0.25188333,161205.33,15323.07,196.97276,176.06645,1.118741,0.4792536,0.33949018,0.24119736,0.958658,1.8997271,2.931009,0.6382286,0.6282835,0.7101621,0.8263471,49.064045,190.0,2754.878,4800.0,3313.7932,4800.0,1705.7471,3300.0,178.16092,1500.0,1757.2539,8600.0,0.46930945,0.08567775,0.0038363172,0.40409207,0.4207161,0.42966753,0.46163684,0.8759591,0.8938619,0.57033247
sim-15-1-0.01-0.3-4-1.3-0.5-2-20.rsml.jpg,5.162973,0.8039254,0.3226858,413037.84,54209.926,256.8579,482.73798,0.53208554,0.465675,0.28952876,0.09352008,0.6084073,1.5304829,2.3225672,0.34522846,0.4111705,0.5588228,0.64218193,40.671482,330.0,3566.111,6500.0,2803.2085,6200.0,926.738,3400.0,174.19354,1700.0,3447.4749,22900.0,0.43718594,0.13442211,0.36934674,0.41959798,0.4786432,0.49497488,0.5678392,0.59045225,0.81155777,0.4585427
sim-15-0.5-0.01-0.1-4-1.3-0.2-4-20.rsml.jpg,3.0337126,0.90756816,1.2134851,166420.81,11309.161,69.342,174.65517,0.39702234,0.44870195,0.34088194,0.30584636,1.5140258,2.8330624,3.971182,0.8550669,1.0057636,1.1024725,1.136441,37.293507,34.0,1054.5852,13100.0,413.8889,3000.0,100.0,100.0,100.0,100.0,1001.7544,14000.0,0.54375,0.3625,0.36125,0.40625,0.3925,0.43125,0.44625,0.41625,0.515,0.59375
sim-15-0.5-0.01-0.3-4-1.3-0.6-2-10.rsml.jpg,1.1006666,0.37669662,0.08466667,66909.695,5134.9487,34.205334,110.32066,0.31005374,0.51424265,0.3721871,0.2509687,1.0286402,1.8960576,2.4689772,0.6021039,0.7084206,0.7649755,0.76482713,17.31553,13.0,550.0,2200.0,419.0184,2400.0,132.51534,200.0,100.0,100.0,1029.6703,24000.0,0.55445546,0.1980198,0.012376238,0.5792079,0.62376237,0.6831683,0.6410891,0.6410891,0.6212871,0.6732673
sim-15-1.5-0.01-0.1-4-1.3-0.3-4-20.rsml.jpg,5.8959746,1.477858,0.19653249,251561.58,38332.285,157.02946,287.3305,0.54651165,0.5763897,0.32824016,0.10049066,0.6259389,1.1535354,1.7638572,0.26589522,0.45867833,0.523382,0.54916096,41.303547,187.0,2859.8838,7300.0,823.49725,2900.0,430.05466,1400.0,162.56984,300.0,1922.9219,8500.0,0.52565706,0.24155194,0.19649562,0.18272841,0.60826033,0.63954943,0.8773467,0.94242805,0.9073842,0.5619524
sim-15-0.5-0.01-0.7-4-1.3-0.1-3-20.rsml.jpg,0.84666663,0.30308428,0.33866668,95675.45,5190.4897,61.637333,86.868,0.70955163,0.43291435,0.34075752,0.36067206,1.4123318,2.7757442,3.803409,0.88131475,0.98879373,1.0783297,1.166577,35.909184,22.0,918.4466,3900.0,700.0,1900.0,312.5,1400.0,100.0,100.0,687.3239,12200.0,0.3695055,0.2239011,0.0728022,0.32692307,0.2802198,0.30357143,0.3502747,0.48763737,0.75137365,0.43956044
sim-15-0.5-0.01-0.3-4-1.3-0.6-2-20.rsml.jpg,3.1816676,0.9053349,0.2892425,370230.4,45369.42,229.65854,436.17767,0.5265252,0.48920983,0.2995244,0.1598855,0.7173841,1.6184845,2.5224218,0.4475251,0.47954813,0.60239965,0.6980351,46.978256,193.0,3519.1257,7100.0,2638.6243,5500.0,835.4497,2400.0,140.32259,1600.0,3326.8354,14000.0,0.50377834,0.091939546,0.24433249,0.48488665,0.50377834,0.5239295,0.5214106,0.49370277,0.8929471,0.5251889
sim-15-0.5-0.01-0.1-4-1.3-0.5-2-20.rsml.jpg,5.6118126,1.4840252,0.16033751,410464.0,54497.273,127.628654,483.5779,0.26392573,0.5180448,0.32881507,0.11549291,0.743153,1.4448456,2.298893,0.35545513,0.4981332,0.58966845,0.6015664,44.901955,143.0,2272.452,10500.0,824.66846,4900.0,246.15384,2700.0,100.0,100.0,3200.2532,18900.0,0.4183417,0.23241206,0.15452261,0.5427136,0.53266335,0.5866834,0.59799,0.6670854,0.8052764,0.459799
sim-15-1.5-0.01-0.1-4-1.3-1-3-20.rsml.jpg,6.1719885,1.3387436,0.23738417,607703.5,79192.31,188.00827,727.8199,0.25831702,0.51241183,0.32735687,0.121383436,0.66778576,1.5737312,2.3689134,0.36841285,0.4822574,0.5503711,0.61767244,25.923737,655.0,2213.369,6000.0,838.1201,4100.0,360.5744,1800.0,174.80315,300.0,3448.477,21600.0,0.45075756,0.16666667,0.4280303,0.3838384,0.5921717,0.61742425,0.64141417,0.6199495,0.7941919,0.4760101
sim-15-1-0.01-0.1-4-1.3-0.3-4-20.rsml.jpg,4.3982215,1.2563689,1.199515,255896.53,28315.75,157.33638,290.68246,0.5412655,0.5270584,0.3128877,0.18421164,0.91203505,1.7045949,2.5677936,0.44626367,0.6299246,0.70159423,0.724618,31.164976,185.0,2256.9768,6200.0,782.4176,2300.0,306.5934,1700.0,114.44444,200.0,1590.2313,12100.0,0.454892,0.14485388,0.17534943,0.42185515,0.44472682,0.47395173,0.7484117,0.98983485,0.9275731,0.49047014
sim-15-1-0.01-0.1-4-1.3-0.6-5-10.rsml.jpg,1.1281832,0.54801065,0.086783335,111082.664,7141.053,64.82715,105.09461,0.6168456,0.5590195,0.3710137,0.2945823,1.3555769,2.4540749,3.253579,0.7633012,0.9443526,1.0267239,1.029908,10.1068535,10.0,634.61536,2400.0,460.92715,2600.0,221.85431,300.0,100.0,100.0,552.9745,12500.0,0.60776436,0.31057563,0.11780455,0.6345382,0.6291834,0.6639893,0.66800535,0.9531459,0.85809904,0.6827309
sim-15-1-0.01-0.1-4-1.3-0.7-4-10.rsml.jpg,2.2013333,0.67852896,0.08466667,149609.56,12159.403,60.452,155.61732,0.38846573,0.46374553,0.37739167,0.24575427,1.1249591,2.0226438,2.771152,0.5999721,0.7986492,0.83707136,0.85556525,6.116395,19.0,676.5854,7500.0,349.56522,700.0,231.73914,300.0,103.04348,200.0,863.7681,21200.0,0.41036415,0.197479,0.06022409,0.20588236,0.23109244,0.27591038,0.9971989,0.9719888,0.8067227,0.49159664
sim-15-0.5-0.01-0.1-4-1.3-0.3-2-20.rsml.jpg,2.0924308,0.51581466,0.12308416,236321.6,21251.465,96.497986,263.15393,0.36669785,0.5461204,0.34072173,0.27467594,1.2042882,2.155979,2.9837945,0.6553707,0.83996105,0.88220644,0.9096943,38.90674,75.0,1500.3969,8200.0,626.9663,5500.0,184.26967,1600.0,100.0,100.0,1668.0739,8300.0,0.45790815,0.10331633,0.08035714,0.77040815,0.80484694,0.84566325,0.8125,0.7066327,0.8316327,0.4987245
sim-15-1.5-0.01-0.5-4-1.3-0.9-2-20.rsml.jpg,2.48031,0.47525424,0.35433,453542.38,61382.355,281.69235,526.53436,0.5349933,0.5464582,0.30761945,0.13133027,0.5526655,1.4229226,2.171732,0.37917858,0.36317143,0.5032586,0.61359423,27.031012,886.0,3352.2222,6700.0,3846.7742,6400.0,1522.043,4000.0,262.90323,900.0,4530.79,25700.0,0.3735849,0.07672956,0.31949687,0.527044,0.61257863,0.61886793,0.69685537,0.85157233,0.9761006,0.5345912
sim-15-1.5-0.01-0.7-4-1.3-0.1-3-20.rsml.jpg,1.6747068,0.37557763,0.104669176,66988.27,7210.136,82.58398,60.394115,1.3674177,0.45991245,0.3088599,0.08656456,0.575205,1.4063874,2.0838208,0.32442477,0.36045584,0.5911882,0.63283736,68.73222,40.0,2215.2542,14900.0,2520.8333,5400.0,541.6667,1500.0,100.0,100.0,932.0413,6200.0,0.3776933,0.13181242,0.0887199,0.41825095,0.4068441,0.42712295,0.43726236,0.80101395,0.70342207,0.5880862
sim-15-1.5-0.01-0.1-4-1.3-0.8-5-20.rsml.jpg,6.771958,1.5518153,0.20521085,656674.7,94621.08,163.34782,783.2898,0.20854074,0.48222226,0.3384838,0.08288585,0.6164518,1.3646886,2.157075,0.30708188,0.43260348,0.4937843,0.5260035,32.33541,498.0,2812.848,7800.0,1137.5262,5000.0,576.10065,2900.0,177.8481,300.0,5743.4346,28800.0,0.5201005,0.22864321,0.33291456,0.41331658,0.32035175,0.3517588,0.59045225,0.55904526,0.81155777,0.55150753
sim-15-1.5-0.01-0.1-4-1.3-0.2-1-10.rsml.jpg,0.33866668,0.17172956,0.08466667,18451.914,759.714,18.796,29.040667,0.6472303,0.38605985,0.38919365,0.30324307,0.99554217,1.8718377,2.1845536,0.6104982,0.70266354,0.7376574,0.8256993,9.15506,7.0,233.33333,500.0,511.6279,800.0,390.69766,600.0,155.81395,300.0,500.9901,6100.0,0.2117117,0.10810811,0.076576576,0.22072072,0.1936937,0.22972973,0.26126125,0.8243243,0.6351351,0.5
sim-15-1.5-0.01-0.1-4-1.3-0.3-5-10.rsml.jpg,0.9313333,0.31551564,0.08466667,32966.914,2550.2446,22.267334,60.197998,0.36990154,0.52665204,0.3615353,0.22383055,0.62395006,1.2139039,1.4577869,0.4539026,0.41960758,0.45078185,0.5613027,1.6113238,8.0,401.6129,900.0,494.38202,700.0,256.17978,300.0,100.0,100.0,846.5517,3200.0,0.23954372,0.07224335,0.47528517,0.5893536,0.7072243,0.76045626,0.6387833,0.8098859,0.76045626,0.48288974
sim-15-1-0.01-0.3-4-1.3-0.3-2-20.rsml.jpg,4.2714334,0.9642528,0.21357167,273371.72,38122.754,170.21661,309.46533,0.5500345,0.52820057,0.30241486,0.07878387,0.5405516,1.358631,2.093019,0.2936062,0.3702108,0.483762,0.57102764,54.44053,130.0,3154.386,8800.0,2003.315,5000.0,712.70715,2400.0,124.44444,200.0,2732.7456,13700.0,0.51819324,0.18444166,0.40652448,0.4353827,0.47302383,0.49686325,0.6587202,0.72521955,0.9974906,0.54328734
sim-15-1.5-0.01-0.5-4-1.3-0.5-2-20.rsml.jpg,2.5095198,0.44469392,0.31368998,200761.6,30456.162,248.75616,229.93477,1.0818554,0.5506163,0.31054044,0.075641155,0.47022352,1.1860336,1.8891956,0.2971573,0.28742403,0.42818004,0.5327119,53.077137,435.0,3231.7646,6900.0,3921.739,7000.0,1111.9565,4100.0,194.56522,1300.0,2068.7324,9100.0,0.52711225,0.0,0.221942,0.39218158,0.4665826,0.4741488,0.7553594,0.8234552,0.9583859,0.60655737
sim-15-1-0.01-0.7-4-1.3-0.2-4-10.rsml.jpg,0.42333332,0.2269537,0.254,11226.8,493.776,9.059333,29.21,0.31014493,0.60502,0.39324862,0.1664952,0.64866257,0.99965703,1.0600138,0.3516804,0.43947187,0.49005488,0.53120714,6.5037546,7.0,100.0,100.0,397.6744,1200.0,204.65117,300.0,100.0,100.0,795.4545,5900.0,0.48598132,0.2897196,0.5140187,0.60747665,0.62616825,0.71028036,0.682243,0.71028036,0.7570093,0.7757009
sim-15-1.5-0.01-0.3-4-1.3-0.5-5-20.rsml.jpg,5.066453,0.90371096,0.29802665,381474.12,60674.055,238.42133,444.35773,0.53655267,0.47484025,0.28546846,0.064365916,0.45875946,1.2016151,1.9101756,0.23100312,0.31463853,0.43974045,0.5306799,45.045525,461.0,4217.222,8000.0,3162.9033,7400.0,1015.0538,3100.0,212.90323,1800.0,3925.8794,15700.0,0.47875,0.07875,0.2325,0.2125,0.57,0.585,0.595,0.67625,0.87875,0.50125
