;image;Rep;Is; areaTotal; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaPrim; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaLat; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; EDMmax; LatDiam
52;sim-0.05-0.2-10-0.3-4-1-0.8-20 ;2;Data;7244;188;606;0.31023103;0.6215562;0.4070126;0.21082622;0.10486467;0.05941124;0.05871062;10813.83;5489.362;2936.1702;5.013455;43.96805;123.0492;120;5.464;11;4.5;8;1.5675676;5;1;1;10.508982;152;156;0.25742576;64;27;4;92;93;34;121;170;95;4;735;183;600;0.305;0.5342515;0.3758084;0.020787343;0.010529556;0.004684964;0.007172383;1032.7869;502.73224;426.22952;16.77082;156.89487;313.78973;294;2.030075;4;1.832;4;1.5142857;3;1;1;4.028249;48;226;0.37666667;71;26;4;0;92;16;119;166;183;1;376;159;315;0.50476193;0.5753713;0.4369723;0.028985508;0.010086068;0.009819704;0.004292855;465.4088;352.20126;377.3585;47.321743;88.54942;177.09885;180;2.5;8;1.7407408;4;1.5714285;4;1.032258;2;2.71875;13;214;0.6793651;59;36;60;0;91;11;13;96;159;2;9;3
57;sim-0.05-0.2-10-0.3-4-1-1-20 ;2;Data;13111;127;770;0.16493507;0.50824755;0.40750846;0.5176955;0.28518212;0.1488282;0.07704809;30921.26;20929.135;15677.165;3.152036;33.55643;86.48727;33;6.8848486;17;5.225131;13;3.5291004;9;1.3489584;2;26.637932;107;1;0.001298701;31;0;30;24;36;27;94;84;37;6;779;91;762;0.11942257;0.5954168;0.40328723;0.021645023;0.023368564;0.011486251;0.006244348;2494.5056;1153.8462;1241.7583;19.879242;192.37984;383.76685;315;1.8255033;5;1.3706896;3;1.1982758;2;1.0736842;2;9.955882;53;187;0.24540682;16;60;88;35;17;12;1;1;1;1;818;125;739;0.16914749;0.45894375;0.31249526;0.03243127;0.019025318;0.009707024;0.003005554;2184;1312;912;48.320217;187.74718;375.3252;423;2.562914;8;1.7985611;6;1.34;5;1;1;6.8717947;28;421;0.5696888;36;68;62;25;0;41;16;1;1;125;16;5
62;sim-0.05-0.2-10-1-2-0.5-0.6-20 ;2;Data;14451;181;550;0.32909092;0.6089175;0.40202925;0.5292234;0.30841696;0.16426325;0.081665;19900.553;17165.746;10580.11;3.202895;18.880348;56.196808;457;12.306306;27;13.720589;23;6.3656716;12;1.8175182;3;27.33125;158;529;0.96181816;82;29;15;63;111;24;128;156;102;3;1919;176;547;0.32175502;0.50835395;0.3931583;0.06508003;0.036549296;0.026140202;0.011304613;2488.6365;2119.318;1630.6818;10.364028;143.89232;287.78464;711;4.453125;12;4.9259257;9;3.6969697;7;1.2736843;3;10.534483;72;420;0.7678245;91;30;68;63;111;11;117;93;99;1;1429;144;326;0.4417178;0.73930633;0.41524708;0.09466437;0.04524362;0.04189703;0.019885657;2097.2222;1590.2778;1298.6111;32.217293;89.55445;90.21489;599;5.1764708;11;5.0125;9;2.68;6;1.5625;3;9.962617;29;711;2.1809816;21;19;27;71;86;49;89;85;62;2;14;1
67;sim-0.05-0.2-10-1-2-0.5-0.8-20 ;2;Data;26507;199;742;0.26819408;0.58553594;0.3933143;0.64051396;0.39639845;0.23620321;0.084054805;36658.293;28839.195;20396.984;3.3082504;14.249216;51.14492;661;17.08805;31;16.929348;27;8.373627;16;2.9027028;5;44.741573;131;742;1;82;28;2;41;129;57;144;167;119;4;2888;169;736;0.22961956;0.5621179;0.3789359;0.062781714;0.048889372;0.022005772;0.019281395;4366.864;3461.5386;2349.1123;14.480943;188.95767;377.68903;903;5.3977275;13;5.3296704;11;3.5944445;8;1.5395683;3;17.006062;95;538;0.73097825;94;27;2;105;128;19;130;157;44;1;2685;180;454;0.39647576;0.6146669;0.40923345;0.07617866;0.06674434;0.044413533;0.019324193;3155.5557;3188.889;2266.6667;27.598782;122.56019;122.80236;1192;7.041237;16;7.901786;14;5.2727275;12;2.2571428;6;14.8950615;41;1349;2.9713657;59;43;6;54;66;69;121;148;76;2;20;1
72;sim-0.05-0.2-10-1-2-0.5-1-20 ;2;Data;48187;227;933;0.24330118;0.58268577;0.3882167;0.7568264;0.48091653;0.3559361;0.07903805;57162.996;43735.684;29691.63;5.3788385;10.453471;17.227404;121;22.80392;50;24.623377;42;10.748918;24;2.836207;5;62.851852;197;1;0.001071811;85;23;45;56;68;82;178;153;142;6;4215;208;918;0.22657952;0.5873911;0.35713217;0.069420785;0.042070046;0.0333802;0.010565216;5528.846;3649.0386;2490.3845;18.81659;235.80501;237.81734;1250;6.942222;20;6.263158;21;3.8141594;10;1.4371258;3;23.48;110;886;0.9651416;111;27;64;95;56;4;156;56;21;1;3045;216;632;0.34177214;0.48659384;0.4363651;0.042759236;0.044603743;0.033408903;0.01287976;1810.1852;3152.7778;2634.2593;41.916557;166.97305;333.9461;1462;5.268293;12;7.4166665;15;5.294872;13;2.327103;6;14.235294;52;1690;2.6740506;81;49;36;45;65;79;153;158;68;2;27;1
77;sim-0.05-0.2-10-1-2-1-0.6-20 ;2;Data;14290;240;548;0.4379562;0.48496297;0.3906214;0.43290043;0.25144628;0.13423172;0.044483986;16554.166;13870.833;8141.6665;4.8199415;18.75131;55.303978;553;16.577982;34;13.681481;23;6.9037037;13;2.4814816;5;22.622726;152;428;0.7810219;95;25;20;52;116;24;155;201;69;3;2034;232;540;0.42962962;0.43777972;0.38606194;0.057560977;0.033333335;0.022613393;0.007999009;2668.1035;1448.2759;1198.2759;8.558276;146.93196;293.86392;707;5.4552846;21;4.766917;8;3.3458648;7;1.5811965;3;8.766816;94;510;0.9444444;91;21;15;59;111;18;150;197;54;1;1523;189;325;0.58153844;0.49022397;0.3531946;0.09637775;0.062850855;0.02372566;0.010005717;2661.3757;1978.8359;1126.9841;41.51237;95.015785;188.66373;726;8.149254;15;6.405063;19;3.12;9;1.4918033;3;8.380953;22;683;2.1015384;59;47;51;111;96;103;90;75;8;5;12;1
82;sim-0.05-0.2-10-1-2-1-0.8-20 ;2;Data;24948;163;742;0.21967655;0.4953368;0.3904186;0.6489823;0.41102546;0.25116077;0.13266471;39760.734;30773.006;19073.62;3.439567;14.890943;32.16543;638;17.262821;38;13.869565;25;7.5604396;16;2.3945947;5;45.120255;181;525;0.7075472;43;25;21;33;65;63;127;129;102;4;2562;134;697;0.19225252;0.59484196;0.37150297;0.0761009;0.042053003;0.028003458;0.022194318;5201.4927;2335.8208;1208.9552;18.986488;178.27226;180.3791;791;5.233533;17;3.5588236;10;2.473054;8;1.6369863;4;18.81416;95;473;0.67862266;58;23;3;14;46;13;94;123;101;1;2274;162;440;0.36818182;0.4475173;0.40273046;0.0499154;0.06693441;0.044401545;0.019148389;3018.5186;2679.0125;1709.8766;42.12964;117.3925;234.43762;1061;6.31;14;7.3703704;14;3.7685184;8;2.4174757;5;13.3144655;29;1071;2.4340909;37;8;24;65;104;69;148;103;61;8;24;1
87;sim-0.05-0.2-10-1-2-1-1-20 ;2;Data;45183;244;936;0.26068377;0.5392217;0.3687012;0.753432;0.46833938;0.25534192;0.06986933;57438.523;41250;29377.049;3.6066725;8.100119;19.753439;149;28.42439;56;22.422413;50;8.86638;26;2.2931035;4;57.380753;224;1;0.001068376;91;38;60;67;135;90;171;157;83;6;3817;188;923;0.20368364;0.69833374;0.34175515;0.07433462;0.042222135;0.026153449;0.014374272;6707.447;2664.8936;1973.4043;10.263303;235.7329;236.85092;1017;6.844749;18;4.271111;14;2.464455;8;1.4829545;3;22.4;151;671;0.7269772;93;43;28;0;0;10;112;153;188;188;3525;243;639;0.3802817;0.49119633;0.38191834;0.040797707;0.04957384;0.03192488;0.01147836;2707.8188;3345.679;2115.2263;41.329887;171.23376;342.46753;1824;7.472603;17;8.094936;17;5.0641026;11;1.8648648;5;14.60515;36;1818;2.8450704;94;42;45;83;110;69;160;140;116;8;27;1
92;sim-0.05-0.2-10-1-4-0.5-0.6-20 ;2;Data;13624;218;545;0.4;0.608584;0.40170825;0.44859025;0.21941291;0.13729501;0.06676843;16293.578;12816.514;5325.688;5.529428;29.845373;90.67716;290;9.709091;16;12.052238;17;6.3358207;13;2.5777779;5;20.247423;118;233;0.42752293;90;38;5;87;70;23;125;187;90;4;1705;216;539;0.4007421;0.51320326;0.39401248;0.049703524;0.025375392;0.018506879;0.01017361;1972.2222;1435.1852;486.1111;22.168106;145.39944;290.7989;784;4.296;8;4.6992483;8;2.704;7;1.5575222;4;7.9018693;69;498;0.9239332;94;41;6;88;71;10;118;184;82;1;757;163;296;0.5506757;0.7232821;0.445127;0.052388936;0.036643356;0.017111223;0.008575599;785.27606;1368.0981;840.4908;24.906683;84.59905;169.1981;351;3.2291667;7;3.7;7;2.419355;6;1.2653061;2;5.4615383;32;344;1.1621622;87;13;73;66;81;23;114;79;83;2;13;2
97;sim-0.05-0.2-10-1-4-0.5-0.8-20 ;2;Data;23579;139;741;0.18758434;0.5266091;0.40571827;0.66712224;0.42026427;0.34725386;0.08935757;38194.246;34000;27352.518;2.4525602;23.603874;71.44537;356;10.515723;20;12.032787;19;6.508197;13;2.8967392;5;44.43307;200;391;0.5276653;59;15;13;17;59;37;114;88;76;4;2410;122;736;0.16576087;0.49555814;0.40514556;0.06088314;0.043465044;0.04139727;0.013728085;3762.2952;3557.377;2729.5083;8.298624;186.59314;373.02145;700;3.8596492;9;4.642857;10;3.038889;6;1.6275862;3;21.773584;100;411;0.55842394;58;1;11;3;45;14;72;73;1;1;1345;132;447;0.295302;0.5217557;0.39602387;0.039202202;0.046853468;0.037603308;0.011525525;1848.4849;2234.8484;1992.4242;37.722897;116.76044;233.52087;649;4.2235293;9;4.5545454;10;3.1458333;8;1.4375;3;10;31;695;1.5548098;44;17;47;33;78;50;100;72;50;1;16;3
