 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
1,sim-15-1-0.01-0.2-5-1.3-0.05-1-20.rsml,299.579,11,273,25.162,0.537,0.366,5,21,4.559,0.22,44.328
2,sim-15-1-0.01-0.2-5-1.3-0.05-2-20.rsml,268.237,11,247,23.131,0.49,0.428,3,13,4.6,0.221,46.087
3,sim-15-1-0.01-0.2-5-1.3-0.05-3-20.rsml,277.742,11,256,23.697,0.516,0.332,4,15,4.268,0.227,59.029
4,sim-15-1-0.01-0.2-5-1.3-0.05-4-20.rsml,306.635,11,277,25.515,0.543,0.327,5,24,5.194,0.224,57.106
5,sim-15-1-0.01-0.2-5-1.3-0.05-5-20.rsml,276.148,11,257,23.981,0.489,0.435,3,11,4.121,0.213,54.621
6,sim-15-1-0.01-0.2-5-1.3-0.07-1-20.rsml,513.799,13,405,31.738,0.715,0.345,16,92,6.326,0.256,59.84
7,sim-15-1-0.01-0.2-5-1.3-0.07-2-20.rsml,542.517,13,434,33.969,0.726,0.284,14,94,7.209,0.268,64.242
8,sim-15-1-0.01-0.2-5-1.3-0.07-3-20.rsml,540.967,13,434,34.049,0.716,0.327,13,93,7.564,0.273,54.455
9,sim-15-1-0.01-0.2-5-1.3-0.07-4-20.rsml,549.056,13,429,33.369,0.702,0.293,15,106,7.684,0.269,66.464
10,sim-15-1-0.01-0.2-5-1.3-0.07-5-20.rsml,525.945,13,421,32.896,0.709,0.332,15,91,6.553,0.258,56.8
11,sim-15-1-0.01-0.2-5-1.3-0.09-1-20.rsml,884.084,14,621,44.867,0.922,0.291,35,241,7.313,0.305,56.836
12,sim-15-1-0.01-0.2-5-1.3-0.09-2-20.rsml,818.896,14,566,40.946,0.893,0.24,30,233,8.188,0.299,59.462
13,sim-15-1-0.01-0.2-5-1.3-0.09-3-20.rsml,914.15,14,614,44.339,0.918,0.302,36,273,8.15,0.298,63.294
14,sim-15-1-0.01-0.2-5-1.3-0.09-4-20.rsml,791.351,14,570,41.183,0.857,0.319,29,200,7.407,0.295,70.824
15,sim-15-1-0.01-0.2-5-1.3-0.09-5-20.rsml,871.941,14,604,43.498,0.91,0.322,34,245,7.734,0.298,69.178
16,sim-15-1-0.01-0.2-5-1.3-0.11-1-20.rsml,1147.365,14,716,51.666,1.069,0.285,47,402,9.022,0.332,64.041
17,sim-15-1-0.01-0.2-5-1.3-0.11-2-20.rsml,1249.822,14,759,54.812,1.089,0.282,51,457,9.46,0.341,65.946
18,sim-15-1-0.01-0.2-5-1.3-0.11-3-20.rsml,1105.17,14,699,50.428,1.04,0.324,44,380,9.072,0.335,72.297
19,sim-15-1-0.01-0.2-5-1.3-0.11-4-20.rsml,1302.057,14,779,56.166,1.114,0.247,54,482,9.551,0.335,71.308
20,sim-15-1-0.01-0.2-5-1.3-0.11-5-20.rsml,1094.72,14,706,50.918,1.069,0.29,43,360,8.881,0.327,65.19
21,sim-15-1-0.01-0.2-5-1.3-0.13-1-20.rsml,1678.572,15,950,63.894,1.341,0.27,73,685,9.865,0.391,67.808
22,sim-15-1-0.01-0.2-5-1.3-0.13-2-20.rsml,1641.307,15,940,63.143,1.32,0.284,68,659,10.208,0.387,68.077
23,sim-15-1-0.01-0.2-5-1.3-0.13-3-20.rsml,1635.2,15,893,59.961,1.275,0.28,70,698,10.511,0.374,62.621
