image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
sim-15-0.5-0.01-0.1-4-1.3-0.3-3-20.rsml,2098.6677,8,961.0,120.61313,2.769829,0.2733453,90,1087.0,12.597368,0.6806638,62.741932
sim-15-1-0.01-0.5-4-1.3-0.8-4-20.rsml,33508.91,17,2876.0,169.61336,1.5485823,0.272344,567,30341.0,54.013203,0.83572453,58.98731
sim-15-1-0.01-0.7-4-1.3-0.8-5-20.rsml,24316.014,17,2034.0,120.232994,0.90571237,0.28446877,398,22068.0,55.959934,0.6585139,57.91393
sim-15-1-0.01-0.5-4-1.3-0.2-3-10.rsml,106.96058,5,86.0,17.777779,0.6345444,0.5272066,3,16.0,6.0238914,0.42926452,74.66778
sim-15-0.5-0.01-0.5-4-1.3-0.4-1-20.rsml,10494.056,8,1136.0,142.41437,1.9678829,0.32031474,199,9246.0,47.008743,1.1151285,57.913914
sim-15-1.5-0.01-0.7-4-1.3-0.3-2-20.rsml,18295.877,21,2194.0,104.935455,0.9505584,0.31844813,414,15874.0,38.870125,0.7052671,57.714043
sim-15-0.5-0.01-0.1-4-1.3-0.7-4-10.rsml,344.30603,4,257.0,64.944824,2.0414734,0.29548553,10,81.0,8.452674,0.47273946,66.29704
sim-15-1.5-0.01-0.5-4-1.3-0.4-3-20.rsml,26486.809,22,3061.0,139.7131,1.3429748,0.3199271,583,23101.0,40.15973,0.7594809,60.5017
sim-15-1.5-0.01-0.7-4-1.3-0.2-4-10.rsml,144.67282,7,125.0,18.480564,0.6208842,0.38389626,3,14.0,5.1029577,0.51352,53.761364
sim-15-1.5-0.01-0.7-4-1.3-0.6-4-10.rsml,2282.691,10,675.0,68.09735,1.8301235,0.2859441,77,1560.0,20.801527,1.2583857,58.2147
sim-15-0.5-0.01-0.7-4-1.3-0.7-4-20.rsml,14727.266,8,1115.0,139.91423,1.082521,0.27073497,225,13499.0,60.47979,0.78837407,55.264942
sim-15-1.5-0.01-0.5-4-1.3-1-1-10.rsml,4824.577,12,1187.0,99.37761,2.1023934,0.27801394,149,3555.0,24.376143,1.0960735,54.048237
sim-15-1.5-0.01-0.1-4-1.3-0.9-5-20.rsml,28409.615,27,7041.0,261.1833,3.4267242,0.25034973,1056,20831.0,20.225058,0.55027133,59.5439
sim-15-1.5-0.01-0.5-4-1.3-0.7-1-20.rsml,40931.254,25,3715.0,149.22874,1.176018,0.30464154,783,36787.0,47.51028,0.64494836,58.397427
sim-15-1.5-0.01-0.5-4-1.3-1-2-10.rsml,5487.2456,12,1228.0,102.89401,1.9674865,0.2946151,166,4165.0,25.617575,1.0065694,56.511272
sim-15-1.5-0.01-0.5-4-1.3-0.2-5-20.rsml,9964.03,22,1880.0,86.043915,1.7621244,0.32545552,282,7922.0,28.620789,1.0577059,62.470383
sim-15-1-0.01-0.3-4-1.3-1-1-10.rsml,2383.1316,8,848.0,106.48878,3.012313,0.29245907,89,1485.0,17.20473,1.0358325,58.086548
sim-15-0.5-0.01-0.7-4-1.3-0.7-1-20.rsml,14755.58,8,1119.0,140.19238,0.9495542,0.2786457,229,13512.0,59.537334,0.67045057,58.545094
sim-15-0.5-0.01-0.1-4-1.3-0.3-2-20.rsml,2190.7202,8,934.0,117.21405,2.7434566,0.2593627,89,1207.0,14.078729,0.6752831,68.06581
sim-15-0.5-0.01-0.1-4-1.3-0.8-5-20.rsml,11192.437,8,2573.0,322.1234,4.6820955,0.24455976,350,8427.0,24.615562,0.7592926,58.857315
sim-15-1-0.01-0.1-4-1.3-0.5-2-10.rsml,386.02338,7,347.0,50.26255,1.4561008,0.27477545,7,30.0,4.883647,0.4377933,64.36917
sim-15-1.5-0.01-0.3-4-1.3-0.6-5-20.rsml,35885.137,25,4731.0,189.74228,2.3295484,0.29185012,841,30696.0,37.02922,0.8507056,59.57584
sim-15-0.5-0.01-0.5-4-1.3-0.2-2-10.rsml,36.526512,2,36.0,18.263256,0.61804956,0,0,0.0,0,0,0
sim-15-1.5-0.01-0.3-4-1.3-0.7-1-10.rsml,1663.8796,12,812.0,68.20509,2.0596988,0.3034868,66,809.0,12.80937,0.78484935,61.512005
sim-15-1.5-0.01-0.3-4-1.3-0.5-1-20.rsml,32371.02,25,4419.0,177.34935,2.0035899,0.2844214,803,27521.0,34.791145,0.7454204,58.52983
sim-15-1-0.01-0.1-4-1.3-0.7-2-10.rsml,784.91766,8,599.0,75.13246,2.165708,0.26741397,26,171.0,7.0714607,0.4728793,62.707153
sim-15-1-0.01-0.1-4-1.3-0.3-5-20.rsml,5167.605,16,2011.0,126.100464,2.8555613,0.27083915,201,3055.0,15.671635,0.7447835,68.09651
sim-15-1.5-0.01-0.1-4-1.3-0.3-2-10.rsml,272.93152,9,262.0,29.513243,0.91689825,0,1,7.0,7.31233,0.4170874,78.59627
sim-15-1.5-0.01-0.7-4-1.3-0.3-3-20.rsml,17335.59,21,2119.0,101.41259,0.90316826,0.3214761,404,14993.0,37.63843,0.6739329,59.74756
sim-15-0.5-0.01-0.7-4-1.3-0.1-4-20.rsml,537.82684,5,202.0,40.58801,0.9933073,0.3371257,21,325.0,15.94699,0.7839141,67.6581
sim-15-0.5-0.01-0.3-4-1.3-0.9-2-20.rsml,25026.832,9,2295.0,255.38155,2.5506356,0.26951736,440,22502.0,51.655453,0.88540494,56.715206
sim-15-0.5-0.01-0.7-4-1.3-0.5-4-10.rsml,458.53848,3,163.0,54.711937,1.4689707,0.35235935,17,284.0,17.317804,1.030898,64.03322
sim-15-0.5-0.01-0.1-4-1.3-0.3-5-20.rsml,2221.314,8,926.0,116.308426,2.6939793,0.27035686,91,1251.0,14.185115,0.690487,60.225178
sim-15-1.5-0.01-0.5-4-1.3-0.1-3-10.rsml,7.118963,1,7.0,7.118963,0.37403694,0,0,0.0,0,0,0
sim-15-1-0.01-0.1-4-1.3-0.9-5-10.rsml,1057.2239,8,755.0,94.990265,2.6805243,0.278568,38,278.0,7.82373,0.5074875,62.12656
sim-15-1.5-0.01-0.5-4-1.3-0.3-2-20.rsml,18533.639,24,2663.0,111.3823,1.6030165,0.30310944,429,15647.0,36.970757,0.9364913,61.03394
sim-15-1.5-0.01-0.3-4-1.3-0.1-4-20.rsml,1286.7711,16,668.0,42.261486,1.0797923,0.35025218,57,586.0,10.712062,0.5759694,65.050476
sim-15-1-0.01-0.5-4-1.3-0.1-4-10.rsml,7.6040535,1,7.0,7.6040535,0.39140174,0,0,0.0,0,0,0
sim-15-1.5-0.01-0.7-4-1.3-1-5-20.rsml,31573.285,25,2946.0,118.199684,0.850132,0.29480648,589,28309.0,48.587936,0.5970447,58.918255
sim-15-1.5-0.01-0.3-4-1.3-0.2-2-20.rsml,7275.4307,22,1878.0,85.8188,2.0119505,0.38072178,254,5259.0,21.210314,0.92000735,66.44603
sim-15-0.5-0.01-0.7-4-1.3-0.6-4-10.rsml,629.8029,3,198.0,66.60934,1.7264616,0.29287183,24,416.0,17.91562,1.1505916,61.902378
sim-15-1.5-0.01-0.3-4-1.3-0.9-1-10.rsml,2972.186,12,1134.0,94.98365,2.7365298,0.2916033,110,1774.0,16.658018,0.96492887,61.662086
sim-15-0.5-0.01-0.7-4-1.3-0.2-1-20.rsml,3872.4392,7,577.0,82.988846,1.6424611,0.32977048,92,3244.0,35.777367,1.2357862,61.92383
sim-15-1.5-0.01-0.7-4-1.3-0.6-2-20.rsml,27041.533,25,2632.0,105.817894,0.7314217,0.292314,518,24123.0,47.096714,0.5367475,56.27439
sim-15-0.5-0.01-0.7-4-1.3-0.2-1-10.rsml,47.24407,2,35.0,18.16472,0.6061156,0,1,10.0,10.914629,0.48081273,73.02558
sim-15-0.5-0.01-0.5-4-1.3-0.9-1-10.rsml,1127.5688,4,334.0,84.24379,2.5596235,0.28631783,39,767.0,20.27163,1.3167119,58.851974
sim-15-1-0.01-0.7-4-1.3-0.9-3-20.rsml,25524.164,18,2117.0,118.09405,0.7918175,0.33426434,424,23189.0,55.185074,0.5664597,59.98721
