 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
44,sim-10-4-0.01-0.4-4-0.8-0.4-3-20.rsml,41715.344,40,6055,151.821,1.785,0.297,1113,35065,32.024,0.783,30.172
45,sim-16-1-0.01-0.2-4-1-0.4-2-20.rsml,20935.891,17,3354,197.75,2.953,0.308,556,17288,31.608,0.749,41.929
46,sim-16-4-0.01-0.4-6-1-0.2-2-10.rsml,653.657,24,565,24.082,0.597,0.369,12,69,6.308,0.308,52.86
47,sim-16-1-0.025-0.4-6-0.8-0.4-1-20.rsml,24315.799,17,3060,180.595,1.889,0.201,362,21048,58.69,0.887,26.969
48,sim-10-4-0.04-0.3-4-1.2-0.2-2-10.rsml,374.575,24,342,14.8,0.61,0,3,18,6.458,0.289,66.409
49,sim-10-4-0.025-0.4-6-0.8-0.3-4-20.rsml,24402.418,40,5529,138.72,2.126,0.203,579,18535,32.562,0.944,28.23
50,sim-10-2.5-0.04-0.4-4-1-0.4-2-20.rsml,30171.732,40,4367,109.627,1.752,0.324,748,25380,34.474,0.826,32.726
51,sim-16-1-0.01-0.3-4-1-0.2-5-10.rsml,177.357,6,153,25.876,0.638,0.36,4,21,5.525,0.278,38.335
52,sim-16-1-0.01-0.2-4-1.2-0.4-3-10.rsml,466.809,7,345,49.746,1.153,0.312,18,107,6.588,0.32,61.543
53,sim-10-4-0.01-0.4-6-1-0.2-1-20.rsml,11097.472,40,3696,92.962,2.14,0.234,350,7193,21.083,0.992,43.984
54,sim-10-2.5-0.025-0.3-6-1-0.4-1-10.rsml,631.829,17,534,31.999,1.238,0.328,14,83,6.275,0.459,45.628
55,sim-16-2.5-0.04-0.2-4-1-0.2-5-10.rsml,389.477,15,371,25.133,0.615,0,2,12,6.241,0.215,61.009
56,sim-10-4-0.025-0.3-6-1.2-0.3-3-10.rsml,554.553,24,534,22.733,0.9,0.434,3,7,2.988,0.38,77.516
57,sim-10-4-0.01-0.2-6-1-0.4-3-20.rsml,21909.203,40,7118,178.418,2.786,0.222,746,14387,19.802,0.658,42.943
58,sim-10-1-0.01-0.2-4-1.2-0.3-5-10.rsml,149.025,6,143,24.383,0.928,0,1,2,2.724,0.283,28.503
59,sim-16-1-0.01-0.4-4-0.8-0.2-1-10.rsml,199.413,6,149,25.459,0.623,0.466,6,43,7.777,0.322,36.504
60,sim-10-1-0.01-0.2-4-0.8-0.3-3-20.rsml,4652.316,16,1456,91.35,2.771,0.356,184,3098,17.341,0.75,31.685
61,sim-16-1-0.04-0.3-4-1-0.3-2-10.rsml,347.486,7,243,35.293,0.905,0.445,13,93,7.726,0.345,48.597
62,sim-10-1-0.01-0.2-4-0.8-0.2-3-10.rsml,93.735,6,92,15.623,0.614,0,0,0,0,0,0
63,sim-16-4-0.01-0.3-6-0.8-0.3-2-10.rsml,1200.183,28,975,35.44,0.889,0.318,28,194,7.424,0.347,35.983
64,sim-16-2.5-0.01-0.4-6-1.2-0.2-2-20.rsml,15716.455,40,3874,97.378,1.899,0.226,420,11606,28.146,0.934,56.908
65,sim-10-1-0.025-0.2-4-1.2-0.3-1-20.rsml,4536.209,16,1561,98.159,2.935,0.33,185,2870,16.031,0.781,53.808
66,sim-16-1-0.04-0.2-4-1-0.2-3-20.rsml,5872.461,16,1660,104.193,1.992,0.321,212,4088,19.837,0.565,37.951
