image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-2D-10.038-1-1.319-0.02196-0.462-4.887-0-1.15-1.235-5.217-8-r162-8.rsml,3186.0032,346.0,704.0,287.19678,6,2655.0,442.91336,13.582681,0.017324872,4,528.0,132.13077,6.036463,32.27091,14,10.0,6.0,0.6
monocot-2D-10.049-1-1.256-0.02346-0.266-5.989-0-1.31-0.851-8.201-9-r253-9.rsml,4623.466,290.0,1000.0,277.04037,7,4130.0,590.5512,15.4724245,0.014137028,5,487.0,97.92158,4.033047,20.366756,17,12.0,7.0,0.5833333
monocot-2D-10.088-1-1.283-0.01924-0.779-4.758-0-0.363-1.076-24.542-6-r204-6.rsml,218.74852,36.0,58.0,285.00653,2,218.0,109.37426,4.2874026,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-2D-10.127-1-1.258-0.00995-0.165-4.084-0-0.9-0.872-23.31-9-r472-9.rsml,2657.4805,336.0,648.0,249.68364,6,2655.0,442.91342,10.629916,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
monocot-2D-10.163-1-1.258-0.03096-0.899-2.265-0-1.497-1.526-19.175-8-r404-8.rsml,18897.627,511.0,1000.0,264.78348,6,3717.0,620.0788,17.681105,0.034467172,58,15163.0,261.67526,15.057297,51.40428,122,64.0,25.0,0.390625
monocot-2D-10.228-1-1.259-0.00226-0.496-3.172-0-1.568-1.666-22.135-10-r388-10.rsml,20492.125,742.0,1407.0,226.78682,8,6552.0,819.38983,18.519669,0.028025288,61,13924.0,228.47557,8.739206,79.67375,130,69.0,21.0,0.3043478
monocot-2D-10.299-1-1.591-0.02542-0.227-5.541-0-0.631-0.827-16.423-9-r153-9.rsml,1830.7087,419.0,400.0,288.24594,6,1829.0,305.11813,7.452758,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
monocot-2D-10.355-1-1.452-0.02282-0.556-5.71-0-1.579-1.213-10.415-7-r428-7.rsml,3248.0315,317.0,877.0,266.13437,5,2714.0,543.30707,18.649601,0.029655574,3,531.0,177.16534,9.968048,44.75613,11,8.0,5.0,0.625
monocot-2D-10.413-1-1.06-0.01307-0.427-3.214-0-0.497-1.413-26.985-5-r379-5.rsml,295.2756,42.0,118.0,247.95786,2,295.0,147.6378,5.870079,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-2D-10.474-1-1.585-0.02674-0.435-3.278-0-1.587-1.564-19.286-9-r255-9.rsml,12992.128,633.0,1295.0,258.99594,7,5253.0,750.8436,18.744108,0.028360989,42,7729.0,184.19576,7.757923,62.639946,91,49.0,19.0,0.3877551
monocot-2D-10.524-1-1.197-0.03072-0.231-2.085-0-1.015-0.998-26.334-9-r226-9.rsml,3825.4624,368.0,761.0,264.2577,7,3304.0,472.44098,11.988179,0.02900536,6,517.0,86.395935,2.7633035,42.028645,19,13.0,7.0,0.53846157
monocot-2D-10.695-1-1.251-0.02063-0.61-2.603-0-0.607-1.311-12.038-8-r40-8.rsml,1560.4222,236.0,353.0,253.84192,5,1357.0,271.65353,7.1692924,0.0,2,201.0,101.077255,4.0944943,65.48907,9,7.0,5.0,0.71428573
monocot-2D-10.717-1-1.607-0.01248-0.794-5.657-0-1.16-0.971-22.73-9-r181-9.rsml,8208.662,610.0,928.0,269.00647,7,3835.0,548.36896,13.700794,0.01953987,16,4366.0,273.12994,10.257414,33.069706,39,23.0,8.0,0.3478261
monocot-2D-10.787-1-1.694-0.00131-0.222-5.792-0-0.364-1.088-22.6-6-r54-6.rsml,280.81238,20.0,116.0,274.86844,2,280.0,140.40619,4.299212,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-2D-10.822-1-1.019-0.01556-0.126-2.075-0-1.143-1.48-13.138-6-r165-6.rsml,1299.2126,186.0,470.0,268.63068,4,1298.0,324.80316,13.5,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-2D-10.829-1-1.146-0.00777-0.813-4.281-0-1.257-1.12-16.671-7-r397-7.rsml,4488.189,406.0,706.0,283.82108,5,2242.0,448.8189,14.846456,0.017305147,11,2242.0,204.00856,11.397932,42.52153,27,16.0,8.0,0.5
monocot-2D-10.879-1-1.345-0.02322-0.354-3.226-0-1.101-0.803-29.38-8-r400-8.rsml,3685.03,351.0,766.0,267.56198,6,2773.0,462.59848,13.003929,0.037180558,7,906.0,129.91986,4.353327,22.724594,20,13.0,6.0,0.46153846
monocot-2D-10.916-1-1.152-0.01479-0.296-4.33-0-1.053-1.031-10.675-8-r477-8.rsml,2849.3757,308.0,703.0,275.7571,6,2655.0,442.91342,12.437011,0.03910699,2,191.0,95.94763,3.545026,33.482174,10,8.0,6.0,0.75
monocot-2D-10.983-1-1.023-0.01094-0.854-2.613-0-0.19-0.976-5.106-7-r219-7.rsml,104.716736,3.0,45.0,270.20444,1,104.0,104.716736,2.244094,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
monocot-2D-10.992-1-1.647-0.01715-0.446-2.857-0-1.229-1.119-20.531-9-r150-9.rsml,10925.199,709.0,987.0,250.26512,7,4248.0,607.424,14.515749,0.03496745,40,6667.0,166.83076,6.2112017,38.379578,87,47.0,16.0,0.34042552
monocot-2D-11.031-1-1.581-0.0272-0.743-4.858-0-0.473-0.969-5.238-6-r199-6.rsml,531.49615,156.0,176.0,266.3594,3,531.0,177.16539,5.586613,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-2D-11.057-1-1.127-0.02848-0.58-5.274-0-0.642-1.451-15.083-10-r8-10.rsml,3131.4358,331.0,589.0,261.75058,7,2655.0,379.64005,7.582674,0.0321072,4,472.0,118.4889,4.1950274,71.775955,15,11.0,7.0,0.6363636
monocot-2D-11.085-1-1.582-0.01755-0.512-4.534-0-0.405-0.806-17.403-7-r83-7.rsml,515.76935,146.0,176.0,277.0521,3,515.0,171.92311,4.7834635,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-2D-11.193-1-1.361-0.01839-0.162-3.188-0-1.589-1.263-29.093-7-r252-7.rsml,3372.236,248.0,939.0,260.0932,5,3009.0,602.3622,18.767714,0.03541057,4,358.0,90.10633,2.9395192,42.788097,13,9.0,5.0,0.5555556
monocot-2D-11.241-1-1.028-0.00797-0.651-2.667-0-1.617-1.36-27.046-7-r211-7.rsml,9803.151,473.0,993.0,264.8239,5,3068.0,614.1732,19.098434,0.03527337,35,6726.0,192.351,11.748444,51.257454,75,40.0,18.0,0.45
monocot-2D-11.251-1-1.28-0.01905-0.468-4.928-0-0.724-1.549-12.569-5-r409-5.rsml,413.38583,73.0,176.0,257.95554,2,413.0,206.69292,8.551181,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-2D-11.371-1-1.34-0.01007-0.369-2.907-0-1.659-1.327-21.412-5-r311-5.rsml,1240.1575,159.0,589.0,246.9619,3,1239.0,413.38583,19.594484,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-2D-11.405-1-1.548-0.00345-0.656-2.328-0-1.628-0.932-24.664-6-r337-6.rsml,5137.796,379.0,765.0,276.19745,4,2065.0,516.73224,19.228338,0.033338107,20,3068.0,153.54333,11.805907,25.68272,44,24.0,16.0,0.6666667
monocot-2D-11.494-1-1.116-0.02576-0.19-5.292-0-0.418-0.821-21.892-6-r499-6.rsml,291.06586,33.0,116.0,293.28082,2,290.0,145.53293,4.937008,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-2D-11.566-1-1.69-0.01808-0.197-5.11-0-0.731-0.901-24.387-8-r203-8.rsml,1771.6537,537.0,470.0,267.06717,5,1770.0,354.33075,8.63386,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-2D-11.625-1-1.017-0.02936-0.869-4.79-0-0.853-1.595-28.119-9-r99-9.rsml,6555.119,446.0,707.0,251.29219,6,2832.0,472.4409,10.074802,0.02307663,16,3717.0,232.52951,8.1830225,61.698917,38,22.0,8.0,0.36363637
monocot-2D-11.744-1-1.289-0.00293-0.154-3.317-0-0.691-0.831-19.81-10-r175-10.rsml,3150.5146,674.0,647.0,258.4465,7,3068.0,438.69513,8.161414,0.0,1,79.0,79.64847,1.295697,27.983858,9,8.0,7.0,0.875
monocot-2D-11.762-1-1.395-0.02629-0.345-3.45-0-1.132-1.454-17.587-8-r351-8.rsml,4058.3928,524.0,820.0,242.11667,6,3068.0,511.81107,13.370072,0.03681158,8,984.0,123.440796,4.3896008,65.80512,22,14.0,7.0,0.5
monocot-2D-11.78-1-1.377-0.00955-0.324-3.193-0-1.155-1.474-24.95-8-r398-8.rsml,4108.337,646.0,881.0,270.14682,6,3186.0,531.49603,13.641727,0.039774492,8,916.0,114.92004,4.2869716,56.931435,22,14.0,7.0,0.5
monocot-2D-11.798-1-1.602-0.02544-0.489-3.842-0-1.052-1.157-25.53-10-r284-10.rsml,11633.859,567.0,1042.0,269.12918,8,4957.0,620.0788,12.425184,0.027436236,40,6667.0,166.83075,5.7874045,40.467045,88,48.0,15.0,0.3125
monocot-2D-11.811-1-1.291-0.03074-0.574-5.795-0-1.147-1.345-5.933-5-r269-5.rsml,885.82684,96.0,409.0,259.62048,3,885.0,295.2756,13.547242,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
