image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-11.213-1-1.19-0.02415-0.417-5.546-0-0.8-1.257-21.017-8-r109-8.rsml,1853.0713,260.0,526.0,279.3868,5,1768.0,353.99545,9.448821,0.030618161,2,82.0,41.54699,3.808979,12.876354,9,7.0,5.0,0.71428573
monocot-3D-11.244-1-1.394-0.00329-0.701-4.318-0-0.276-1.667-17.751-6-r161-6.rsml,204.871,35.0,58.0,303.79993,2,204.0,102.4355,3.259842,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-3D-11.264-1-1.47-0.01123-0.602-4.373-0-1.166-1.281-17.066-9-r310-9.rsml,7427.546,582.0,998.0,257.5859,7,3701.0,529.2,13.771663,0.023815945,24,3708.0,155.13104,7.862028,52.71886,55,31.0,11.0,0.3548387
monocot-3D-11.265-1-1.331-0.011-0.262-5.703-0-0.512-0.979-17.042-8-r11-8.rsml,1058.7286,153.0,293.0,234.92493,5,1055.0,211.74573,6.047243,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-3D-11.289-1-1.605-0.02395-0.654-3.122-0-0.892-1.278-8.512-8-r331-8.rsml,2877.719,420.0,585.0,247.43082,5,1839.0,368.51578,10.535432,0.05168438,9,1032.0,115.01557,6.4987698,50.749466,23,14.0,7.0,0.5
monocot-3D-11.326-1-1.62-0.02119-0.287-2.525-0-1.596-1.315-29.892-8-r98-8.rsml,6138.348,493.0,1175.0,259.14157,6,4163.0,694.22577,18.850382,0.035221152,18,1965.0,109.61075,5.1490827,50.763634,42,24.0,14.0,0.5833333
monocot-3D-11.435-1-1.246-0.01986-0.352-5.301-0-0.468-1.323-10.018-9-r168-9.rsml,1502.7812,279.0,351.0,284.78137,6,1500.0,250.46355,5.527558,0.0,0,0.0,0.0,0.0,0.0,6,6.0,6.0,1.0
monocot-3D-11.485-1-1.06-0.03034-0.548-4.65-0-0.606-1.191-24.002-8-r165-8.rsml,1598.0055,230.0,411.0,261.0874,5,1391.0,278.63776,7.1574817,0.03644206,2,204.0,102.408325,3.7888691,38.16259,9,7.0,5.0,0.71428573
monocot-3D-11.538-1-1.322-0.00732-0.349-3.186-0-0.241-1.259-9.125-7-r162-7.rsml,214.99562,10.0,58.0,270.12466,3,213.0,71.66521,2.8464568,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-3D-11.592-1-1.698-0.01666-0.705-4.39-0-0.658-1.475-18.85-6-r247-6.rsml,447.10474,33.0,233.0,290.62863,3,445.0,149.03491,7.7716527,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-3D-11.655-1-1.135-0.02205-0.256-2.992-0-0.115-0.868-18.345-8-r406-8.rsml,83.35847,1.0,27.0,268.59647,1,83.0,83.35847,1.3582681,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
monocot-3D-11.802-1-1.29-0.02972-0.899-4.468-0-0.694-0.962-29.286-10-r122-10.rsml,6678.0713,434.0,646.0,272.21188,7,2919.0,417.462,8.196846,0.024845665,20,3745.0,187.7919,6.913341,24.18733,47,27.0,8.0,0.2962963
monocot-3D-11.835-1-1.303-0.02916-0.397-2.857-0-0.587-1.59-16.771-7-r119-7.rsml,904.1079,182.0,293.0,296.64957,4,902.0,226.02698,6.9330726,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-11.877-1-1.597-0.00164-0.197-4.715-0-0.789-0.936-19.848-5-r299-5.rsml,442.64893,96.0,233.0,234.95306,2,441.0,221.32446,9.318896,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-3D-11.911-1-1.068-0.00469-0.416-5.678-0-0.923-0.97-7.563-7-r417-7.rsml,1787.5656,418.0,528.0,258.73898,5,1678.0,336.01044,10.901578,0.0,1,107.0,107.51352,4.418519,53.20081,7,6.0,5.0,0.8333333
monocot-3D-11.956-1-1.659-0.0045-0.363-5.794-0-1.55-1.565-20.484-7-r329-7.rsml,3550.0757,531.0,990.0,268.30716,5,2851.0,570.87854,18.307083,0.017614357,7,692.0,99.3833,6.324731,83.231384,19,12.0,7.0,0.5833333
monocot-3D-12.003-1-1.037-0.00592-0.395-2.666-0-0.691-1.241-19.184-8-r196-8.rsml,2051.2988,299.0,468.0,257.10214,5,1672.0,334.7197,8.161418,0.03177987,5,376.0,75.54008,3.1124651,68.788994,15,10.0,5.0,0.5
monocot-3D-12.147-1-1.019-0.01323-0.222-3.094-0-1.111-0.892-20.013-6-r266-6.rsml,1351.4686,217.0,529.0,271.0742,4,1349.0,337.86716,13.122042,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-12.159-1-1.447-0.02364-0.558-5.232-0-1.515-1.073-28.907-10-r76-10.rsml,17964.777,571.0,1646.0,270.1688,8,7186.0,898.55334,17.893702,0.02008059,41,10754.0,262.83786,9.50931,27.42092,90,49.0,16.0,0.3265306
monocot-3D-12.298-1-1.486-0.0278-0.362-3.617-0-0.978-0.876-23.325-8-r461-8.rsml,3299.4165,489.0,764.0,263.45688,6,2748.0,458.82092,11.551183,0.035579354,6,545.0,91.081825,4.059179,15.755546,18,12.0,6.0,0.5
monocot-3D-12.332-1-1.071-0.01966-0.607-4.964-0-0.797-1.641-5.415-6-r144-6.rsml,867.42847,145.0,351.0,250.34491,3,865.0,289.14282,9.413386,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-3D-12.438-1-1.455-0.02-0.244-3.455-0-1.456-1.047-5.865-7-r48-7.rsml,2987.3362,233.0,938.0,288.486,5,2823.0,565.0707,17.196842,0.024523873,2,161.0,80.99136,4.022671,25.846323,9,7.0,5.0,0.71428573
monocot-3D-12.471-1-1.612-0.02978-0.598-4.941-0-0.326-1.445-20.21-6-r370-6.rsml,250.93852,30.0,117.0,233.21228,2,250.0,125.46926,3.8503938,0.0,0,0.0,0.0,0.0,0.0,2,2.0,2.0,1.0
monocot-3D-12.485-1-1.194-0.01932-0.18-5.669-0-0.574-1.175-6.095-7-r474-7.rsml,835.47473,61.0,294.0,273.02167,4,833.0,208.86868,6.779527,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-3D-12.485-1-1.485-0.02108-0.664-5.196-0-1.509-0.963-5.463-9-r105-9.rsml,13190.948,464.0,1467.0,271.08417,7,5708.0,815.8787,17.82285,0.023041656,39,7460.0,191.78964,11.196506,30.309542,85,46.0,15.0,0.32608697
monocot-3D-12.711-1-1.656-0.00349-0.58-2.205-0-0.544-1.658-13.211-7-r357-7.rsml,895.89813,222.0,294.0,259.6954,4,795.0,199.26205,6.4251957,0.038439553,2,98.0,49.42495,3.5104227,82.91059,8,6.0,4.0,0.6666667
monocot-3D-12.76-1-1.481-0.02365-0.239-2.347-0-0.504-1.176-26.354-8-r421-8.rsml,1131.2734,216.0,351.0,258.4562,5,1127.0,226.25468,5.9527574,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-3D-12.777-1-1.106-0.02414-0.263-5.903-0-0.349-1.01-17.184-5-r442-5.rsml,117.942154,1.0,59.0,266.29507,1,117.0,117.942154,4.122047,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
monocot-3D-12.797-1-1.592-0.02806-0.889-5.583-0-0.953-1.262-26.083-7-r407-7.rsml,2862.4214,385.0,645.0,241.73624,5,1847.0,369.78522,11.255912,0.023918737,8,1010.0,126.68694,9.586798,59.813828,21,13.0,5.0,0.3846154
monocot-3D-12.857-1-1.025-0.02597-0.563-5.233-0-1.117-1.283-19.319-6-r360-6.rsml,1653.1244,128.0,588.0,251.47522,4,1482.0,371.3493,13.192911,0.0,1,167.0,167.72723,7.081135,57.423847,6,5.0,4.0,0.8
monocot-3D-12.884-1-1.099-0.00983-0.358-4.047-0-0.11-1.251-18.895-8-r400-8.rsml,87.64674,0.0,29.0,269.7361,1,87.0,87.64674,1.299213,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
monocot-3D-12.898-1-1.151-0.00783-0.693-3.073-0-1.419-1.188-27.873-7-r393-7.rsml,7744.864,558.0,997.0,274.85056,5,2979.0,596.29626,16.75984,0.029245513,30,4751.0,158.77936,10.986506,40.616516,65,35.0,17.0,0.4857143
monocot-3D-12.965-1-1.059-0.03069-0.249-5.336-0-1.354-1.248-8.96-7-r96-7.rsml,3001.1704,179.0,939.0,256.4482,5,2835.0,567.59216,15.992126,0.031749215,2,162.0,81.60472,3.8731377,35.615093,9,7.0,5.0,0.71428573
monocot-3D-13.055-1-1.291-0.02876-0.45-4.633-0-1.5-1.227-19.261-10-r399-10.rsml,19520.736,510.0,1765.0,268.44467,8,7811.0,976.8125,17.716547,0.021200705,54,11678.0,216.78214,7.592738,34.700706,116,62.0,21.0,0.33870968
monocot-3D-13.13-1-1.54-0.01786-0.202-3.733-0-0.588-1.147-25.884-6-r32-6.rsml,744.9602,254.0,294.0,272.0445,3,744.0,248.32007,6.9448833,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
