image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-shov-11.146-1-1.388-0.01502-0.637-5.528-0-1.108-1.577-7.787-7-r238-7.rsml,2219.7976,320.0,644.0,250.63107,5,1849.0,370.25867,13.086611,0.023010768,4,366.0,92.12606,7.942996,81.23898,13,9.0,5.0,0.5555556
monocot-shov-11.251-1-1.027-0.02936-0.325-4.686-0-0.93-1.156-7.757-9-r478-9.rsml,3472.1074,262.0,764.0,253.52011,7,3208.0,458.82623,10.984252,0.03646424,3,259.0,86.77456,3.4630024,47.511967,13,10.0,7.0,0.7
monocot-shov-11.261-1-1.49-0.01751-0.823-2.229-0-0.975-1.672-8.513-7-r307-7.rsml,2546.3423,336.0,529.0,245.67317,5,1551.0,310.58014,11.515748,0.040909015,7,989.0,141.92018,8.995162,79.03227,19,12.0,6.0,0.5
monocot-shov-11.29-1-1.168-0.03086-0.161-3.017-0-1.437-1.201-18.392-10-r483-10.rsml,7901.989,290.0,1411.0,275.08743,8,6429.0,804.0464,16.97242,0.020131156,19,1462.0,77.34824,2.7106197,46.06836,46,27.0,9.0,0.33333334
monocot-shov-11.375-1-1.323-0.01625-0.7-5.266-0-0.983-1.026-18.491-9-r406-9.rsml,5615.973,368.0,823.0,264.30032,7,3203.0,458.11057,11.610231,0.024650522,16,2403.0,150.57489,7.6199665,42.361073,39,23.0,8.0,0.3478261
monocot-shov-11.452-1-1.028-0.01497-0.238-5.978-0-1.127-1.448-17.117-6-r39-6.rsml,1387.1176,150.0,528.0,252.19296,4,1385.0,346.7794,13.311026,0.0,0,0.0,0.0,0.0,0.0,4,4.0,4.0,1.0
monocot-shov-11.528-1-1.265-0.01665-0.559-2.567-0-0.784-1.326-18.006-6-r41-6.rsml,866.31555,201.0,351.0,243.8676,3,864.0,288.77185,9.259842,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
monocot-shov-11.535-1-1.026-0.02555-0.548-4.722-0-1.584-1.018-22.78-7-r242-7.rsml,4880.7427,322.0,1000.0,265.37363,5,3027.0,605.93567,18.708666,0.024075288,10,1845.0,185.10648,9.7055,36.122692,25,15.0,8.0,0.53333336
monocot-shov-11.629-1-1.043-0.00106-0.112-3.816-0-1.584-1.393-20.571-7-r468-7.rsml,2874.3167,422.0,983.0,278.9412,5,2871.0,574.86334,18.708666,0.0,0,0.0,0.0,0.0,0.0,5,5.0,5.0,1.0
monocot-shov-11.643-1-1.416-0.00678-0.828-2.233-0-1.081-1.251-5.115-5-r427-5.rsml,657.8679,68.0,350.0,292.90714,3,656.0,219.2893,12.767716,0.0,0,0.0,0.0,0.0,0.0,3,3.0,3.0,1.0
