image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.4-1-5-r3-12.rsml,5559.0874,850.0,985.0,282.8471,9,4574.0,508.6478,4.558868,0.013267924,11,976.0,89.205215,2.2138064,61.284985,31,20.0,9.0,0.45
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.4-1.5-15-r3-12.rsml,6928.602,888.0,929.0,248.10538,9,4950.0,550.3484,4.391695,0.024993248,16,1967.0,123.46672,2.1184835,68.766174,41,25.0,9.0,0.36
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.4-1.5-25-r3-12.rsml,7628.074,939.0,1006.0,237.63365,9,4812.0,535.12067,4.65235,0.021390093,25,2800.0,112.47953,2.2557015,66.13842,59,34.0,10.0,0.29411766
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.4-1.5-35-r3-12.rsml,7979.446,829.0,1042.0,250.24115,9,4492.0,499.64328,4.6868267,0.03221385,23,3472.0,151.41985,2.29292,57.870785,55,32.0,9.0,0.28125
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.4-1.5-5-r3-12.rsml,5756.756,968.0,993.0,250.74065,9,4927.0,547.9308,4.551546,0.02538938,9,821.0,91.70871,2.2294953,73.86777,27,18.0,9.0,0.5
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-0.5-15-r3-12.rsml,33087.82,1191.0,2321.0,269.4607,10,11737.0,1174.2911,9.923498,0.021094486,85,21302.0,251.1165,4.7756577,22.255869,180,95.0,22.0,0.23157895
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-0.5-25-r3-12.rsml,42324.305,1566.0,2342.0,268.8076,10,12275.0,1228.1154,10.1711445,0.015899213,95,30002.0,316.24365,4.859068,18.55925,200,105.0,25.0,0.23809524
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-0.5-35-r3-12.rsml,42394.91,1440.0,2284.0,265.85132,10,11858.0,1186.3857,9.679689,0.023280744,92,30486.0,331.85934,4.622254,22.46171,194,102.0,23.0,0.2254902
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-0.5-5-r3-12.rsml,28740.172,1213.0,2445.0,270.73,10,11791.0,1179.5325,10.367164,0.01793703,69,16915.0,245.57744,4.9818287,20.48701,148,79.0,17.0,0.21518987
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1-15-r3-12.rsml,36441.855,1397.0,2274.0,260.94867,10,12405.0,1240.9668,9.654542,0.01836815,81,23994.0,296.69366,4.610702,37.74454,172,91.0,21.0,0.23076923
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1-25-r3-12.rsml,41496.473,1629.0,2318.0,266.5699,10,12326.0,1233.1372,10.026876,0.015133346,90,29117.0,324.05652,4.8155656,44.51713,190,100.0,22.0,0.22
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1-35-r3-12.rsml,42103.68,1257.0,2227.0,282.16278,10,11990.0,1199.6288,9.797825,0.016740166,95,30066.0,316.91998,4.691887,39.929504,200,105.0,25.0,0.23809524
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1-5-r3-12.rsml,29508.477,854.0,2439.0,256.78018,10,12254.0,1225.8862,10.492897,0.016309908,87,17206.0,198.27138,5.023042,35.55938,184,97.0,23.0,0.2371134
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1.5-15-r3-12.rsml,34691.83,1068.0,2314.0,245.0088,10,11476.0,1148.1101,10.020344,0.018347021,88,23168.0,263.7582,4.8003016,71.06284,186,98.0,26.0,0.26530612
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1.5-25-r3-12.rsml,43582.465,1710.0,2458.0,255.11,10,12729.0,1273.482,10.39585,0.016874986,120,30783.0,257.06375,4.9659386,65.20271,250,130.0,28.0,0.21538462
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1.5-35-r3-12.rsml,43434.945,1407.0,2400.0,258.12057,10,12131.0,1213.7357,10.2044935,0.01666944,109,31237.0,287.13394,4.8935895,61.416042,228,119.0,30.0,0.25210086
monocot-3D-25-1-1.7-0.001-0.5-6-0-0.9-1.5-5-r3-12.rsml,25766.4,1536.0,2332.0,252.57297,10,12495.0,1249.8783,9.989889,0.011987396,65,13236.0,204.11705,4.824007,60.16434,140,75.0,17.0,0.22666667
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-0.5-15-r3-12.rsml,100844.81,1447.0,3734.0,266.81274,10,19440.0,1944.4578,15.630727,0.016664326,187,81302.0,435.29544,7.43893,18.212725,384,197.0,41.0,0.20812182
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-0.5-25-r3-12.rsml,100864.44,1066.0,3599.0,271.95883,10,17999.0,1800.509,15.102386,0.019589547,188,82762.0,440.74118,7.182694,20.006855,386,198.0,44.0,0.22222222
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-0.5-35-r3-12.rsml,108882.625,1511.0,3663.0,274.14563,10,19336.0,1934.0394,15.30629,0.017699528,191,89452.0,468.80746,7.269511,18.319853,392,201.0,43.0,0.21393035
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-0.5-5-r3-12.rsml,77525.21,1765.0,3851.0,271.11755,10,20326.0,2033.0862,15.998501,0.01498219,169,57112.0,338.4281,7.607318,17.960922,348,179.0,39.0,0.21787709
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1-15-r3-12.rsml,87515.08,1571.0,3721.0,268.90015,10,19490.0,1949.4603,15.549639,0.016005764,179,67925.0,380.00272,7.3865848,35.92572,368,189.0,43.0,0.22751322
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1-25-r3-12.rsml,114113.84,1701.0,3805.0,268.47464,10,19903.0,1990.8103,15.938968,0.01902921,202,94103.0,466.36493,7.5920796,37.240845,414,212.0,46.0,0.21698113
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1-35-r3-12.rsml,111721.28,1619.0,3858.0,266.92285,10,19940.0,1994.5872,16.151201,0.018885266,195,91681.0,470.6432,7.678901,35.03082,400,205.0,44.0,0.21463415
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1-5-r3-12.rsml,60066.793,1670.0,3605.0,267.16748,10,19125.0,1913.0609,15.386706,0.016413158,151,40862.0,271.1006,7.319857,37.606617,312,161.0,32.0,0.19875777
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1.5-15-r3-12.rsml,73284.69,1612.0,3596.0,261.26755,10,18432.0,1843.7756,15.083797,0.015492484,165,54761.0,332.40558,7.15787,62.58233,340,175.0,36.0,0.20571429
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1.5-25-r3-12.rsml,86752.06,2079.0,3490.0,256.88617,10,19355.0,1935.9701,14.947417,0.015473623,173,67298.0,389.55112,7.1178126,63.550312,356,183.0,40.0,0.21857923
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1.5-35-r3-12.rsml,97099.37,2093.0,3681.0,257.03674,10,19183.0,1918.8389,15.51273,0.017555652,188,77814.0,414.42014,7.3733144,57.798717,386,198.0,44.0,0.22222222
monocot-3D-25-1-1.7-0.001-0.5-6-0-1.4-1.5-5-r3-12.rsml,65065.96,1501.0,3838.0,259.97275,10,19990.0,1999.566,16.079945,0.01576605,170,44986.0,265.1194,7.642731,63.244484,350,180.0,40.0,0.22222222
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-0.5-15-r3-12.rsml,17540.35,881.0,933.0,284.41034,9,4714.0,524.27563,4.3974605,0.04078466,54,12799.0,237.442,3.7701657,24.800192,117,63.0,16.0,0.25396827
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-0.5-25-r3-12.rsml,17449.023,928.0,985.0,266.39694,9,4710.0,523.89874,4.5036087,0.031239154,53,12704.0,240.26294,3.8400054,20.586046,115,62.0,15.0,0.24193548
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-0.5-35-r3-12.rsml,16622.41,1070.0,999.0,268.4704,9,4754.0,528.5586,4.570402,0.026930727,50,11840.0,237.30768,3.907571,25.387127,109,59.0,14.0,0.23728813
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-0.5-5-r3-12.rsml,11550.675,624.0,993.0,244.08426,9,4194.0,466.41245,4.4910955,0.023870623,36,7336.0,204.24902,3.809867,20.682484,81,45.0,13.0,0.2888889
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1-15-r3-12.rsml,16182.06,933.0,983.0,264.7656,9,4589.0,510.44977,4.5629597,0.034723137,51,11563.0,227.21591,3.888034,45.612392,111,60.0,15.0,0.25
monocot-3D-25-1-1.7-0.001-0.9-4-0-0.4-1-25-r3-12.rsml,18210.605,767.0,997.0,273.56458,9,4738.0,527.031,4.4999022,0.03931289,55,13437.0,244.86044,3.8195493,46.299297,119,64.0,15.0,0.234375
