image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-shov-11.228-1-1.394-0.02569-0.352-4.147-0.365-0.354-1.483-16.58-6-r121-6.rsml,176.98987,13.0,117.0,277.94928,1,176.0,176.98987,4.2502275,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.229-1-1.644-0.01412-0.456-4.718-0.566-0.594-1.353-14.268-6-r342-6.rsml,294.95898,6.0,235.0,268.91245,1,294.0,294.95898,7.3615,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.243-1-1.59-0.02051-0.486-5.701-0.959-0.557-0.8-17.418-6-r265-6.rsml,235.82085,12.0,176.0,265.8419,1,235.0,235.82085,7.2303896,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.28-1-1.505-0.00139-0.875-5.037-0.56-0.788-1.194-10.492-5-r286-5.rsml,294.15308,15.0,235.0,272.8964,1,294.0,294.15308,10.544201,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.312-1-1.606-0.02127-0.576-4.667-0.117-1.277-0.903-29.633-8-r213-8.rsml,2737.206,263.0,939.0,273.0564,1,1000.0,1000.3651,16.689138,0.020848319,8,1733.0,217.10515,8.365282,28.08728,17,9.0,9.0,1.0
dicot-shov-11.379-1-1.497-0.01476-0.791-4.397-0.625-0.308-1.084-10.955-6-r207-6.rsml,117.987236,6.0,58.0,275.2582,1,117.0,117.987236,4.398893,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.397-1-1.078-0.00879-0.438-5.875-0.352-1.41-1.377-7.802-10-r174-10.rsml,2549.727,182.0,1399.0,263.6428,1,1468.0,1468.6833,19.338856,0.01188934,9,1076.0,120.11597,7.1502385,47.977123,19,10.0,10.0,1.0
dicot-shov-11.4-1-1.472-0.0161-0.301-4.816-0.463-1.232-1.008-28.587-5-r445-5.rsml,471.686,46.0,409.0,276.31033,1,471.0,471.686,15.012226,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.436-1-1.539-0.02533-0.403-3.792-0.384-0.688-1.185-14.418-8-r472-8.rsml,692.0943,64.0,469.0,272.68323,1,530.0,530.1837,8.893595,0.044747137,2,161.0,80.95529,3.3167617,63.38539,5,3.0,3.0,1.0
dicot-shov-11.454-1-1.205-0.02802-0.304-4.819-0.291-1.652-1.519-21.745-8-r7-8.rsml,2395.2983,247.0,1234.0,273.95895,1,1296.0,1296.7041,21.050976,0.017594874,10,1093.0,109.85945,5.7640905,51.24743,21,11.0,11.0,1.0
dicot-shov-11.53-1-1.526-0.01587-0.465-5.088-0.608-1.018-1.54-7.264-9-r147-9.rsml,1547.4034,138.0,879.0,226.75291,1,942.0,942.23926,14.476869,0.014297169,6,601.0,100.860695,5.3717265,69.876465,13,7.0,7.0,1.0
dicot-shov-11.598-1-1.532-0.01732-0.273-5.017-0.114-1.016-1.384-29.423-9-r272-9.rsml,1263.9271,87.0,877.0,257.78384,1,938.0,938.67487,12.230421,0.02124349,5,323.0,65.05044,3.1773467,41.29857,11,6.0,6.0,1.0
dicot-shov-11.617-1-1.317-0.03052-0.307-5.807-0.556-1.212-1.526-19.267-6-r337-6.rsml,648.0757,22.0,588.0,268.26822,1,648.0,648.0757,14.904423,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.701-1-1.161-0.01692-0.582-2.794-0.609-0.848-1.047-9.095-10-r222-10.rsml,2608.9333,234.0,823.0,277.7551,1,884.0,884.12805,15.182192,0.02567172,11,1720.0,156.80049,6.827927,29.939781,23,12.0,12.0,1.0
dicot-shov-11.734-1-1.543-0.00795-0.277-3.595-0.796-0.306-1.644-8.101-8-r157-8.rsml,235.29355,10.0,176.0,273.70868,1,235.0,235.29355,3.7832131,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-11.785-1-1.662-0.01525-0.887-5.822-0.375-1.564-1.439-28.902-6-r97-6.rsml,1787.3511,154.0,761.0,260.64264,1,823.0,823.7723,24.98307,0.017547658,6,961.0,160.59645,16.171442,28.313066,13,7.0,7.0,1.0
dicot-shov-12.003-1-1.664-0.03035-0.36-5.401-0.425-0.804-1.431-9.529-5-r345-5.rsml,294.21533,7.0,235.0,266.87082,1,294.0,294.21533,9.700546,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.201-1-1.101-0.01382-0.147-4.721-0.98-0.192-1.287-26.303-7-r246-7.rsml,110.198845,0.0,51.0,271.1194,1,110.0,110.198845,2.267717,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.257-1-1.485-0.02629-0.479-5.9-0.452-0.543-1.612-11.824-5-r305-5.rsml,176.96725,10.0,117.0,266.6851,1,176.0,176.96725,6.570648,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.273-1-1.56-0.02511-0.369-5.93-0.451-1.211-1.318-14.021-8-r227-8.rsml,1459.8811,98.0,941.0,258.9769,1,1001.0,1001.31366,15.50439,0.017865127,5,457.0,91.713486,5.157744,36.352745,11,6.0,6.0,1.0
dicot-shov-12.297-1-1.279-0.0095-0.702-3.554-0.817-1.123-1.641-26.665-6-r71-6.rsml,909.18774,117.0,530.0,318.1746,1,590.0,590.3243,21.130709,0.047646195,2,318.0,159.43173,9.344538,70.66951,5,3.0,3.0,1.0
dicot-shov-12.307-1-1.276-0.01007-0.776-3.043-0.289-0.351-0.866-21.758-10-r53-10.rsml,730.40625,81.0,292.0,278.67667,1,351.0,351.75525,5.301986,0.03770223,4,376.0,94.66274,3.3115997,33.754738,9,5.0,5.0,1.0
dicot-shov-12.417-1-1.385-0.00726-0.533-3.594-0.354-0.314-1.543-13.474-7-r450-7.rsml,176.42278,8.0,117.0,265.94373,1,176.0,176.42278,3.790598,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.472-1-1.356-0.01992-0.562-4.933-0.641-0.407-1.438-16.32-10-r394-10.rsml,559.2936,37.0,352.0,297.5638,1,412.0,412.45944,5.454548,0.034355998,2,146.0,73.41706,2.7615094,40.818645,5,3.0,3.0,1.0
dicot-shov-12.511-1-1.639-0.02777-0.767-3.168-0.163-0.94-0.923-26.877-9-r417-9.rsml,4327.135,303.0,876.0,277.56265,1,942.0,942.63586,15.703182,0.026790561,13,3377.0,260.34607,8.794986,30.563528,27,14.0,14.0,1.0
dicot-shov-12.614-1-1.309-0.02835-0.814-4.16-0.597-1.331-1.134-14.86-6-r427-6.rsml,1829.1625,149.0,706.0,259.00708,1,767.0,767.08826,23.080057,0.023764158,7,1057.0,151.72487,12.461998,22.589249,15,8.0,8.0,1.0
dicot-shov-12.628-1-1.242-0.03082-0.863-2.337-0.413-1.139-0.885-7.272-8-r331-8.rsml,5911.111,348.0,935.0,267.71768,1,999.0,999.30084,29.458595,0.031654775,20,4901.0,245.5905,13.58362,26.071554,41,21.0,21.0,1.0
dicot-shov-12.654-1-1.184-0.01432-0.783-4.573-0.597-0.231-0.85-10.108-8-r236-8.rsml,177.0735,7.0,117.0,274.6477,1,177.0,177.0735,2.9292245,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.718-1-1.071-0.019-0.395-3.851-0.952-0.483-1.213-12.976-6-r162-6.rsml,235.96315,3.0,176.0,269.72296,1,235.0,235.96315,6.016745,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-12.775-1-1.293-0.02283-0.565-2.633-0.272-1.409-1.52-11.194-9-r112-9.rsml,6847.8545,554.0,1345.0,257.6112,1,1407.0,1407.3798,25.782795,0.027187208,21,5429.0,259.07022,9.818665,51.73884,43,22.0,22.0,1.0
dicot-shov-12.875-1-1.641-0.0116-0.501-3.39-0.103-1.16-1.111-24.353-5-r338-5.rsml,470.78232,14.0,411.0,267.97748,1,470.0,470.78232,14.1005535,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-shov-13.032-1-1.166-0.02985-0.519-2.42-0.584-1.367-0.932-25.624-9-r61-9.rsml,8378.781,330.0,1351.0,268.0981,1,1414.0,1414.0863,32.716103,0.032603268,26,6951.0,267.87292,9.526144,25.120756,53,27.0,27.0,1.0
