image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-2D-11.223-1-1.7-0.02149-0.551-3.335-0.435-1.23-1.388-19.445-8-r338-8.rsml,2834.646,361.0,878.0,257.52673,1,944.0,944.88196,19.858078,0.025387304,9,1888.0,209.97375,8.005122,51.601818,19,10.0,10.0,1.0
dicot-2D-11.305-1-1.657-0.0194-0.507-3.779-0.824-0.263-1.353-21.025-8-r42-8.rsml,177.16536,1.0,118.0,270.42697,1,177.0,177.16536,3.3390703,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-2D-11.313-1-1.664-0.02884-0.403-3.145-0.171-1.216-1.041-25.395-10-r280-10.rsml,4842.5195,311.0,1176.0,263.27094,1,1240.0,1240.1572,16.516102,0.02267035,16,3599.0,225.14763,5.6997843,28.587309,33,17.0,17.0,1.0
dicot-2D-11.319-1-1.566-0.01592-0.854-4.954-0.526-1.471-1.169-26.975-9-r473-9.rsml,7736.2217,429.0,1293.0,274.10654,1,1358.0,1358.2676,42.41051,0.018229939,16,6372.0,398.62213,18.46897,32.100784,33,17.0,17.0,1.0
dicot-2D-11.38-1-1.187-0.02446-0.271-2.444-0.769-1.496-1.351-23.405-8-r397-8.rsml,2681.056,182.0,1118.0,245.40019,1,1181.0,1181.1023,22.109129,0.038106922,11,1494.0,136.35939,4.697737,56.05975,23,12.0,12.0,1.0
dicot-2D-11.471-1-1.431-0.0287-0.834-2.988-0.958-0.577-1.278-9.363-7-r137-7.rsml,472.31458,43.0,291.0,274.96118,1,354.0,354.33066,10.823778,0.0,1,117.0,117.98392,5.302552,6.4114714,3,2.0,2.0,1.0
dicot-2D-11.635-1-1.63-0.02003-0.343-3.304-0.112-1.171-1.514-21.948-7-r402-7.rsml,1098.8069,102.0,705.0,257.4059,1,767.0,767.7165,14.315413,0.03843825,3,330.0,110.36347,4.5853415,57.662277,7,4.0,4.0,1.0
dicot-2D-11.673-1-1.556-0.01635-0.584-4.837-0.449-1.28-0.923-12.349-8-r83-8.rsml,2716.5354,211.0,943.0,259.65155,1,1003.0,1003.937,18.91525,0.01750396,7,1711.0,244.65694,8.828034,23.886017,15,8.0,8.0,1.0
dicot-2D-11.717-1-1.579-0.00318-0.377-2.087-0.254-0.401-1.432-14.306-10-r182-10.rsml,512.11774,87.0,340.0,309.36868,1,413.0,413.38586,5.1744184,0.0,1,98.0,98.73185,1.8718257,61.93927,3,2.0,2.0,1.0
dicot-2D-11.734-1-1.418-0.01465-0.171-2.686-0.589-0.644-1.255-6.589-6-r207-6.rsml,295.27557,28.0,234.0,278.87363,1,295.0,295.27557,7.7622433,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
