"","x"
"1",0.948036134243011
"2",0.648676812648773
"3",0.707546472549438
"4",0.46029606461525
"5",0.440417587757111
"6",0.501218736171722
"7",0.562347650527954
"8",0.657292127609253
"9",0.685282945632935
"10",0.449842512607574
"11",0.354613095521927
"12",0.481575489044189
"13",0.616437375545502
"14",0.457660436630249
"15",0.7452712059021
"16",0.280411422252655
"17",0.658385634422302
"18",0.419533491134644
"19",0.59639698266983
"20",0.481450408697128
"21",0.379751712083817
"22",0.722339868545532
"23",0.443782448768616
"24",0.477641820907593
"25",0.332671046257019
"26",0.46233868598938
"27",0.611396372318268
"28",0.467492640018463
"29",0.447182834148407
"30",0.53025484085083
"31",0.417357385158539
"32",0.397336959838867
"33",0.380515962839127
"34",0.499926626682281
"35",0.386519551277161
"36",0.46124055981636
"37",0.436915904283524
"38",0.45031812787056
"39",0.355836182832718
"40",0.527014434337616
"41",0.438809961080551
"42",0.650923609733582
"43",0.48376676440239
"44",0.403979510068893
"45",0.492046147584915
"46",0.528299391269684
"47",0.544019818305969
"48",0.443644344806671
"49",0.44993007183075
"50",0.317037552595139
"51",0.500154614448547
"52",0.35606575012207
"53",0.512859642505646
"54",0.542580425739288
"55",0.363783270120621
"56",3.36357736587524
"57",0.87028044462204
"58",0.799763143062592
"59",1.18484473228455
"60",1.78953564167023
"61",1.61696755886078
"62",2.31151294708252
"63",2.63716125488281
"64",3.03279256820679
"65",0.4403315782547
"66",0.518587470054626
"67",0.488913357257843
"68",0.524269342422485
"69",0.614741683006287
"70",0.543533444404602
"71",0.626844108104706
"72",0.503447592258453
"73",1.05450975894928
"74",0.616437375545502
"75",0.612255215644836
"76",0.626673817634583
"77",0.483504861593246
"78",0.525887370109558
"79",0.489291578531265
"80",0.386629819869995
"81",0.217671111226082
"82",0.410327196121216
"83",0.625746548175812
"84",0.560913801193237
"85",0.379751712083817
"86",0.439839601516724
"87",0.414605855941772
"88",0.755402207374573
"89",0.332671046257019
"90",0.46233868598938
"91",0.679690182209015
"92",0.735670387744904
"93",0.53288745880127
"94",0.592594385147095
"95",0.376656144857407
"96",0.436125099658966
"97",0.788190126419067
"98",0.401710450649261
"99",0.386519551277161
"100",0.486140429973602
"101",0.608195960521698
"102",0.519578397274017
"103",0.579033553600311
"104",0.438809961080551
"105",0.53995555639267
"106",0.349182963371277
"107",0.593120753765106
"108",0.470346540212631
"109",0.426206886768341
"110",0.400583833456039
"111",0.443644344806671
"112",0.360894650220871
"113",0.329830318689346
"114",0.424144178628922
"115",0.305252999067307
"116",0.371218293905258
"117",0.517280340194702
"118",0.425111651420593
"119",0.728143393993378
"120",0.535770177841187
"121",0.462271690368652
"122",0.490911453962326
"123",0.486181139945984
"124",0.375006228685379
"125",0.568058550357819
"126",0.646645903587341
"127",0.503447592258453
"128",0.47547259926796
"129",0.354613095521927
"130",0.439905762672424
"131",0.470557808876038
"132",0.409707546234131
"133",0.525887370109558
"134",0.411766171455383
"135",0.386629819869995
"136",0.505650818347931
"137",0.608195960521698
"138",0.525963366031647
"139",0.355836182832718
"140",0.726602494716644
"141",0.585097789764404
"142",0.588232338428497
"143",0.596396148204803
"144",0.604655921459198
"145",0.449967086315155
"146",0.569668650627136
"147",0.595363080501556
"148",0.423651516437531
"149",0.369912564754486
"150",0.523097932338715
"151",0.494196146726608
"152",0.584030330181122
"153",0.293209761381149
"154",0.303777724504471
"155",0.336183965206146
"156",0.519578397274017
"157",0.676127016544342
"158",0.470144152641296
"159",0.589834094047546
"160",0.495061069726944
"161",0.403979510068893
"162",0.426206886768341
"163",0.420671135187149
"164",0.418028652667999
"165",0.399183362722397
"166",0.462750524282455
"167",0.468829482793808
"168",0.422315686941147
"169",0.413340091705322
"170",0.308078497648239
"171",0.413786798715591
"172",0.320813834667206
"173",0.518587470054626
"174",0.334504723548889
"175",0.488081067800522
"176",0.46029606461525
"177",0.560237884521484
"178",0.547326564788818
"179",0.880439281463623
"180",0.56412535905838
"181",0.47547259926796
"182",0.642410516738892
"183",0.745565116405487
"184",0.574147164821625
"185",0.439905762672424
"186",0.580705106258392
"187",0.583267092704773
"188",0.217671111226082
"189",0.410327196121216
"190",0.971853911876678
"191",0.4403315782547
"192",0.488913357257843
"193",0.500354886054993
"194",0.439839601516724
"195",0.514249444007874
"196",0.475871324539185
"197",0.600894391536713
"198",0.675404787063599
"199",0.48005148768425
"200",0.53010368347168
"201",0.42493212223053
"202",0.369912564754486
"203",0.380515962839127
"204",0.333684951066971
"205",0.505661964416504
"206",0.395645260810852
"207",0.293209761381149
"208",0.459042549133301
"209",0.481450408697128
"210",0.566696226596832
"211",0.775162279605865
"212",0.389404863119125
"213",0.593298733234406
"214",0.437146663665771
"215",0.463706791400909
"216",0.523370921611786
"217",0.354079455137253
"218",0.266302615404129
"219",0.376776367425919
"220",0.420131117105484
"221",0.422315686941147
"222",0.305252999067307
"223",0.413218945264816
"224",0.397614061832428
"225",0.419032245874405
"226",0.469547659158707
"227",0.471338987350464
"228",0.334504723548889
"229",0.540609419345856
"230",0.514539778232574
"231",0.490911453962326
"232",0.375006228685379
"233",0.565413594245911
"234",0.564966320991516
"235",2.47047114372253
"236",0.673197448253632
"237",0.612255215644836
"238",0.574147164821625
"239",0.481575489044189
"240",0.470557808876038
"241",0.409707546234131
"242",0.837819576263428
"243",0.656350374221802
"244",0.459825932979584
"245",0.336183965206146
"246",0.59639698266983
"247",0.541551053524017
"248",0.482499927282333
"249",0.443782448768616
"250",0.579195857048035
"251",0.475871324539185
"252",0.45340359210968
"253",0.449967086315155
"254",0.532557010650635
"255",0.42493212223053
"256",0.423651516437531
"257",0.443475246429443
"258",0.333684951066971
"259",0.494196146726608
"260",0.303777724504471
"261",0.447600573301315
"262",0.499636769294739
"263",0.605920135974884
"264",0.579033553600311
"265",0.414605855941772
"266",0.389404863119125
"267",0.469512611627579
"268",0.349182963371277
"269",0.365333169698715
"270",0.523370921611786
"271",0.266302615404129
"272",0.400583833456039
"273",0.563011407852173
"274",0.356955498456955
"275",0.418977230787277
"276",0.308078497648239
"277",0.419032245874405
"278",0.525384247303009
"279",0.320813834667206
"280",0.363783270120621
