image,tot_root_length,width,depth,direction,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals, tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle,tree_size,tree_magnitude,tree_altitude,tree_index
dicot-3D-10.002-1-1.065-0.02491-0.13-5.191-0.596-1.025-1.514-16.951-5-r195-5.rsml,353.23206,15.0,293.0,267.0385,1,353.0,353.23206,12.188397,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.084-1-1.584-0.02107-0.139-2.457-0.545-0.753-1.07-11.61-7-r164-7.rsml,412.32294,10.0,352.0,270.41953,1,412.0,412.32294,9.040505,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.099-1-1.266-0.00918-0.505-2.101-0.423-1.492-0.919-11.609-5-r295-5.rsml,472.1691,14.0,412.0,271.83224,1,472.0,472.1691,19.957102,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.195-1-1.003-0.00846-0.433-4.417-0.59-0.551-1.054-18.803-7-r257-7.rsml,294.89508,19.0,234.0,266.20023,1,294.0,294.89508,7.0538735,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.313-1-1.644-0.01784-0.287-3.236-0.154-1.187-1.462-20.78-9-r99-9.rsml,1572.9407,157.0,884.0,284.10168,1,943.0,943.62885,14.639429,0.026173856,8,626.0,78.66399,3.943164,52.759335,17,9.0,9.0,1.0
dicot-3D-10.32-1-1.58-0.00181-0.519-3.977-0.608-1.135-1.235-22.552-7-r13-7.rsml,1176.9056,140.0,579.0,294.93515,1,646.0,646.51886,17.399094,0.026627645,5,528.0,106.07733,6.84097,41.402515,11,6.0,6.0,1.0
dicot-3D-10.372-1-1.257-0.0226-0.435-4.844-0.313-0.72-1.156-28.31-5-r318-5.rsml,235.2067,6.0,176.0,272.3311,1,235.0,235.2067,8.638716,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.385-1-1.242-0.01653-0.415-3.082-0.682-1.334-1.373-12.299-7-r351-7.rsml,1368.0688,71.0,701.0,314.12128,1,760.0,760.74396,19.817844,0.027778763,6,603.0,101.2208,6.419763,54.686787,13,7.0,7.0,1.0
dicot-3D-10.409-1-1.355-0.00266-0.339-5.086-0.938-0.778-1.322-7.855-6-r85-6.rsml,353.1651,9.0,293.0,269.82584,1,353.0,353.1651,9.768178,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.607-1-1.218-0.02252-0.846-3.316-0.311-1.437-1.7-29.555-9-r175-9.rsml,6957.3765,500.0,1175.0,269.52628,1,1234.0,1234.3853,40.249985,0.025672233,21,5715.0,272.52338,17.477245,58.136505,43,22.0,22.0,1.0
dicot-3D-10.662-1-1.235-0.01628-0.155-4.185-0.983-1.562-1.54-17.956-8-r70-8.rsml,1173.8993,35.0,1058.0,316.51065,1,1119.0,1119.2351,19.718372,0.04053111,2,53.0,27.332123,2.7368574,70.74387,5,3.0,3.0,1.0
dicot-3D-10.715-1-1.563-0.01749-0.872-5.255-0.382-0.151-1.39-11.852-10-r97-10.rsml,93.47064,1.0,34.0,271.42352,1,93.0,93.47064,1.992653,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.743-1-1.172-0.02862-0.698-5.169-0.302-1.426-1.642-6.481-6-r393-6.rsml,829.057,37.0,647.0,284.78864,1,707.0,707.9036,19.971516,0.0,1,121.0,121.15341,11.61412,34.654987,3,2.0,2.0,1.0
dicot-3D-10.749-1-1.272-0.0269-0.555-2.75-0.183-1.237-1.385-29.9-6-r66-6.rsml,876.658,73.0,528.0,307.80328,1,588.0,588.78644,16.180254,0.046188556,3,286.0,95.957184,7.689805,49.568058,7,4.0,4.0,1.0
dicot-3D-10.812-1-1.027-0.01483-0.283-2.753-0.381-0.472-1.101-15.451-5-r76-5.rsml,118.080734,1.0,59.0,271.61584,1,118.0,118.080734,5.6056914,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.866-1-1.166-0.00733-0.364-3.188-0.641-0.402-0.964-7.359-9-r93-9.rsml,294.80457,3.0,235.0,270.52618,1,294.0,294.80457,5.0677066,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-10.941-1-1.489-0.0065-0.786-2.192-0.968-1.112-1.658-19.055-7-r444-7.rsml,2147.6206,410.0,641.0,272.469,1,707.0,707.19806,29.573792,0.038680837,9,1436.0,160.04698,12.0028925,61.430725,19,10.0,10.0,1.0
dicot-3D-11.093-1-1.605-0.01037-0.862-4.685-0.446-0.477-1.541-29.328-5-r338-5.rsml,177.0614,0.0,118.0,268.39355,1,177.0,177.0614,6.216101,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-11.108-1-1.211-0.02662-0.489-4.431-0.779-0.361-1.474-19.585-6-r14-6.rsml,176.33194,7.0,117.0,274.92474,1,176.0,176.33194,4.542928,0.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0
dicot-3D-11.11-1-1.634-0.00842-0.888-5.57-0.369-1.546-0.902-18.543-5-r51-5.rsml,801.8474,84.0,526.0,288.0451,1,589.0,589.98114,21.766127,0.030442568,2,211.0,105.933136,15.532345,35.4043,5,3.0,3.0,1.0
