 ;image;tot_root_length;n_primary;tot_prim_length;mean_prim_length;mean_prim_diameter;mean_lat_density;n_laterals;tot_lat_length;mean_lat_length;mean_lat_diameter;mean_lat_angle
1475;sim-0.15-0.3-10-0.3-4-0.5-0.6-20-5.rsml;374.423;5;211;42.638;0.559;0.388;17;152;9.484;0.177;16.494
1476;sim-0.15-0.3-10-0.3-4-0.5-0.8-20-1.rsml;701.314;5;290;58.444;0.745;0.298;37;393;11.057;0.228;14.277
1477;sim-0.15-0.3-10-0.3-4-0.5-0.8-20-2.rsml;696.333;5;290;58.453;0.745;0.283;36;390;11.224;0.227;14.318
1478;sim-0.15-0.3-10-0.3-4-0.5-0.8-20-3.rsml;680.759;5;289;58.273;0.745;0.278;34;374;11.453;0.228;14.048
1479;sim-0.15-0.3-10-0.3-4-0.5-0.8-20-4.rsml;668.619;5;289;58.275;0.745;0.269;34;362;11.095;0.226;13.653
1480;sim-0.15-0.3-10-0.3-4-0.5-0.8-20-5.rsml;685.774;5;289;58.381;0.745;0.285;34;377;11.584;0.229;14.997
1481;sim-0.15-0.3-10-0.3-4-0.5-1-20-1.rsml;1107.24;5;368;74.168;0.931;0.273;54;707;13.637;0.277;16.86
1482;sim-0.15-0.3-10-0.3-4-0.5-1-20-2.rsml;1080.688;5;368;74.24;0.931;0.284;53;680;13.387;0.277;13.669
1483;sim-0.15-0.3-10-0.3-4-0.5-1-20-3.rsml;1092.786;5;368;74.257;0.931;0.287;54;694;13.361;0.278;13.444
1484;sim-0.15-0.3-10-0.3-4-0.5-1-20-4.rsml;1120.808;5;369;74.338;0.931;0.287;56;720;13.377;0.278;13.617
1485;sim-0.15-0.3-10-0.3-4-0.5-1-20-5.rsml;1120.676;5;368;74.239;0.931;0.282;55;717;13.627;0.278;14.894
1486;sim-0.15-0.3-10-0.3-4-1-0.6-20-1.rsml;368.378;5;210;42.486;0.559;0.39;17;149;9.173;0.18;39.54
1487;sim-0.15-0.3-10-0.3-4-1-0.6-20-2.rsml;345.201;5;210;42.378;0.559;0.401;17;126;7.842;0.176;29.886
1488;sim-0.15-0.3-10-0.3-4-1-0.6-20-3.rsml;347.34;5;211;42.693;0.559;0.394;17;126;7.875;0.174;31.769
1489;sim-0.15-0.3-10-0.3-4-1-0.6-20-4.rsml;360.353;5;210;42.493;0.559;0.39;17;140;8.699;0.176;39.308
1490;sim-0.15-0.3-10-0.3-4-1-0.6-20-5.rsml;352.493;5;209;42.256;0.559;0.408;17;134;8.307;0.177;37.537
1491;sim-0.15-0.3-10-0.3-4-1-0.8-20-1.rsml;674.974;5;290;58.486;0.745;0.298;36;364;10.626;0.228;36.544
1492;sim-0.15-0.3-10-0.3-4-1-0.8-20-2.rsml;635.439;5;289;58.295;0.745;0.308;33;328;10.423;0.226;35.126
1493;sim-0.15-0.3-10-0.3-4-1-0.8-20-3.rsml;657.862;5;290;58.425;0.745;0.301;35;350;10.45;0.228;36.535
1494;sim-0.15-0.3-10-0.3-4-1-0.8-20-4.rsml;641.081;5;289;58.398;0.745;0.277;35;327;9.974;0.227;32.573
1495;sim-0.15-0.3-10-0.3-4-1-0.8-20-5.rsml;650.534;5;289;58.274;0.745;0.3;35;340;10.262;0.229;31.222
1496;sim-0.15-0.3-10-0.3-4-1-1-20-1.rsml;1055.244;5;368;74.152;0.931;0.282;55;663;12.445;0.279;30.064
1497;sim-0.15-0.3-10-0.3-4-1-1-20-2.rsml;1044.85;5;368;74.276;0.931;0.278;53;649;12.707;0.279;31.766
1498;sim-0.15-0.3-10-0.3-4-1-1-20-3.rsml;1052.721;5;368;74.192;0.931;0.278;54;652;12.625;0.277;34.483
1499;sim-0.15-0.3-10-0.3-4-1-1-20-4.rsml;1059.186;5;368;74.327;0.931;0.287;55;660;12.501;0.28;32.817
1500;sim-0.15-0.3-10-0.3-4-1-1-20-5.rsml;1067.88;5;368;74.342;0.931;0.274;54;665;12.892;0.28;29.069
1501;sim-0.15-0.3-10-1-2-0.5-0.6-20-1.rsml;2467.425;15;813;54.615;0.559;0.551;167;1567;9.869;0.179;16.593
1502;sim-0.15-0.3-10-1-2-0.5-0.6-20-2.rsml;2474.819;15;810;54.465;0.559;0.56;167;1575;9.927;0.179;15.911
1503;sim-0.15-0.3-10-1-2-0.5-0.6-20-3.rsml;2486.732;15;807;54.35;0.559;0.558;167;1592;10.009;0.179;16.222
1504;sim-0.15-0.3-10-1-2-0.5-0.6-20-4.rsml;2516.76;15;812;54.566;0.559;0.547;167;1614;10.169;0.18;16.46
1505;sim-0.15-0.3-10-1-2-0.5-0.6-20-5.rsml;2482.381;15;812;54.63;0.559;0.55;167;1569;9.958;0.179;16.988
1506;sim-0.15-0.3-10-1-2-0.5-0.8-20-1.rsml;5039.592;15;1124;75.433;0.745;0.531;305;3756;12.813;0.23;16.146
1507;sim-0.15-0.3-10-1-2-0.5-0.8-20-2.rsml;5082.109;15;1125;75.476;0.745;0.529;307;3802;12.866;0.23;15.364
1508;sim-0.15-0.3-10-1-2-0.5-0.8-20-3.rsml;5042.921;15;1124;75.344;0.745;0.512;305;3768;12.829;0.23;15.761
1509;sim-0.15-0.3-10-1-2-0.5-0.8-20-4.rsml;5076.194;15;1124;75.432;0.745;0.52;312;3794;12.643;0.23;15.774
1510;sim-0.15-0.3-10-1-2-0.5-0.8-20-5.rsml;5096.487;15;1123;75.418;0.745;0.508;309;3817;12.832;0.23;14.745
1511;sim-0.15-0.3-10-1-2-0.5-1-20-1.rsml;8547.154;15;1428;95.683;0.931;0.519;466;6873;15.262;0.282;15.057
1512;sim-0.15-0.3-10-1-2-0.5-1-20-2.rsml;8481.311;15;1427;95.596;0.931;0.507;461;6793;15.287;0.282;14.664
1513;sim-0.15-0.3-10-1-2-0.5-1-20-3.rsml;8475.466;15;1427;95.706;0.931;0.52;466;6797;15.107;0.281;14.134
1514;sim-0.15-0.3-10-1-2-0.5-1-20-4.rsml;8493.902;15;1428;95.662;0.931;0.527;470;6812;15.019;0.282;13.757
1515;sim-0.15-0.3-10-1-2-0.5-1-20-5.rsml;8512.148;15;1426;95.564;0.931;0.521;468;6827;15.125;0.282;14.415
1516;sim-0.15-0.3-10-1-2-1-0.6-20-1.rsml;2289.787;15;810;54.503;0.559;0.55;167;1395;8.816;0.178;35.388
1517;sim-0.15-0.3-10-1-2-1-0.6-20-2.rsml;2287.411;15;811;54.499;0.559;0.552;167;1388;8.802;0.179;36.582
1518;sim-0.15-0.3-10-1-2-1-0.6-20-3.rsml;2264.289;15;814;54.707;0.559;0.548;167;1364;8.645;0.179;32.093
1519;sim-0.15-0.3-10-1-2-1-0.6-20-4.rsml;2351.816;15;808;54.361;0.559;0.558;167;1455;9.2;0.179;36.559
1520;sim-0.15-0.3-10-1-2-1-0.6-20-5.rsml;2282.17;15;810;54.468;0.559;0.55;167;1380;8.773;0.179;35.299
1521;sim-0.15-0.3-10-1-2-1-0.8-20-1.rsml;4714.828;15;1125;75.357;0.745;0.516;304;3439;11.791;0.231;34.724
