;image;Rep;Is; areaTotal; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaPrim; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; areaLat; width; depth; ratio w/d; CoM X; CoM Y; Densell1; Densell2; Densell3; Densell4; DensRect1; DensRect2; DensRect3; Directionality; LengthBlancs1; LengthBlancs2; nTips; meanhor4; maxhor4; meanhor3; maxhor3; meanhor2; maxhor2; meanhor1; maxhor1; meanvert; maxvert; number; numberdensity; X1;X2;X3;X4;X5;X6;X7;X8;X9;X10; EDMmax; LatDiam
51;sim-0.05-0.2-10-0.3-4-1-0.8-20 ;1;Test;6901;152;605;0.25123966;0.5309742;0.41096008;0.21145375;0.19514893;0.0807324;0.037007723;14657.895;9447.368;5677.6313;5.629884;61.384163;95.18877;181;5.336;12;3.6040268;7;2.4899328;4;1.2266667;2;12.405595;136;139;0.22975206;50;43;27;58;54;23;68;102;91;5;810;107;599;0.17863105;0.704996;0.4203817;0.020427404;0.019250888;0.016031686;0.008641115;1850.4673;925.23364;906.54205;7.254104;152.41063;304.82126;257;2;4;1.245614;3;1.12;2;1;1;10.5161295;101;176;0.29382303;12;1;15;103;13;9;65;1;1;1;394;124;308;0.4025974;0.49590632;0.43258455;0.034060672;0.014034464;0.013333334;0.007009524;653.2258;508.0645;314.51614;41.404438;83.00603;166.01205;237;2.4166667;6;1.9850746;5;1.3846154;3;1.0851064;2;3.2051282;20;183;0.59415585;39;11;62;82;46;4;85;57;4;2;9;3
56;sim-0.05-0.2-10-0.3-4-1-1-20 ;1;Test;12975;175;770;0.22727273;0.5990005;0.40825188;0.3858468;0.17416634;0.09609619;0.078327164;19702.857;14228.571;10177.143;3.5780518;41.839394;99.47341;26;6.818182;17;5.371728;12;3.2116401;8;1.34375;2;20.402685;104;1;0.001298701;68;13;1;68;97;29;102;140;53;6;806;123;752;0.16356383;0.5950494;0.42179993;0.013513514;0.012230635;0.00646627;0.007122417;1300.813;756.09753;422.76422;21.709757;190.53871;381.07742;290;1.5838926;3;1.4912281;3;1.3472222;3;1.1648352;2;5.9495797;48;197;0.26196808;79;12;0;0;97;10;82;86;123;1;839;171;730;0.23424658;0.5372206;0.30402386;0.021827001;0.015759544;0.0078707;0.00214758;1602.3392;1163.7427;450.2924;46.661453;187.98404;374.99466;447;2.7619047;11;2;8;1.2244898;4;1;1;5.1698112;14;387;0.530137;0;11;133;0;0;171;107;3;171;171;12;5
61;sim-0.05-0.2-10-1-2-0.5-0.6-20 ;1;Test;14350;191;550;0.34727272;0.5435255;0.3906382;0.49654642;0.25985062;0.16361256;0.07286839;20518.324;13774.869;7078.534;4.490346;21.356262;39.336555;482;15.045872;28;12.345589;25;6.2686567;10;1.8175182;4;26.372782;135;438;0.79636365;72;18;19;5;71;31;142;166;172;4;1924;188;538;0.3494424;0.43263704;0.3864413;0.06855081;0.03286953;0.019334352;0.013765979;2888.2979;1723.4043;723.40424;9.474433;142.94754;143.18254;699;5.030303;18;4.6060605;9;2.9612403;6;1.7166667;4;10.102151;78;454;0.84386617;76;18;19;6;72;7;137;163;1;1;1510;183;341;0.5366569;0.48999023;0.3660601;0.10553411;0.049589455;0.029747987;0.009419744;2557.377;1830.6011;628.4153;37.373962;97.52948;194.17775;680;6.527027;13;6.585366;12;2.925926;7;1.7142857;3;7.80226;29;682;2;53;21;22;63;63;59;106;132;97;2;12;1
66;sim-0.05-0.2-10-1-2-0.5-0.8-20 ;1;Test;27256;210;743;0.28263795;0.6486554;0.38475066;0.6028387;0.30495247;0.24948148;0.098280884;36333.332;21480.953;8352.381;3.7655666;17.56576;37.610554;713;16.98726;33;15.76087;27;7.659341;15;2.5053763;5;39.807487;128;645;0.8681023;71;34;10;29;155;72;173;182;162;4;2774;192;737;0.2605156;0.6123134;0.37212282;0.060315188;0.030308843;0.025221698;0.01376031;3901.0417;2078.125;932.2917;17.199453;191.12561;381.28336;906;5.471591;11;5.0274725;10;3.1920905;6;1.6230769;4;14.1534395;69;537;0.7286296;104;41;10;138;0;17;113;173;49;192;2632;189;454;0.41629955;0.71251464;0.41016948;0.08612663;0.06518472;0.04028245;0.013658422;2587.3015;3455.0264;2074.074;25.241947;123.69317;246.07722;1191;6.54;16;7.669643;13;4.2363634;8;2.0957446;5;13.186747;45;1217;2.6806169;55;48;41;101;115;77;135;135;76;1;21;1
71;sim-0.05-0.2-10-1-2-0.5-1-20 ;1;Test;41393;207;933;0.22186495;0.5964594;0.3997018;0.8321832;0.5415559;0.23945732;0.07907309;52657.004;53526.57;38555.555;3.917916;9.011853;19.763035;81;16.813726;51;17.08225;39;8.632034;20;2.8922415;5;49.637257;210;1;0.001071811;61;57;75;71;162;67;108;117;132;6;3428;202;906;0.22295806;0.5901689;0.377127;0.07168734;0.047629695;0.021108238;0.006575236;4569.307;4564.3564;3396.0396;27.144142;232.65855;464.12283;974;5.5645933;21;5.328889;17;3.1981566;10;1.5853659;3;18.768362;112;693;0.7649007;18;56;87;141;162;134;101;101;57;1;1948;153;647;0.23647605;0.7646052;0.4186714;0.01830986;0.038366843;0.031946387;0.011165923;2267.9739;1738.5621;2562.0916;32.997772;166.62833;333.02402;837;3.1278195;9;2.7548387;7;2.9375;6;1.8350515;4;13.579439;55;1038;1.6043277;80;1;26;29;84;14;125;106;74;2;31;1
76;sim-0.05-0.2-10-1-2-1-0.6-20 ;1;Test;13282;163;546;0.2985348;0.5320213;0.39758524;0.5252434;0.32068887;0.17302106;0.07134364;20644.172;18582.822;9607.362;5.569634;19.673525;34.977425;394;13.981818;27;12.362963;22;5.744361;11;1.9558823;3;29.840279;111;393;0.7197802;35;18;17;16;40;56;128;136;147;3;1796;155;506;0.30632412;0.4911847;0.38058773;0.08271447;0.04599189;0.025403682;0.012212535;3393.5483;2206.4517;1038.7097;12.669704;132.8533;264.75082;710;5.1355934;10;4.384;10;3.0252101;7;1.3736264;3;11.272109;72;445;0.8794466;68;17;14;15;35;13;105;130;140;1;1335;161;329;0.4893617;0.4402796;0.3642191;0.09117975;0.05831838;0.030004617;0.009937816;2354.0374;2043.4783;1198.7578;40.26507;92.574295;183.80968;565;6.3239436;14;5.65;10;2.8611112;10;1.7068965;5;8.286667;25;651;1.9787234;54;36;8;42;91;54;83;137;28;5;12;1
81;sim-0.05-0.2-10-1-2-1-0.8-20 ;1;Test;24889;249;743;0.33512786;0.511744;0.39605233;0.5538311;0.30613515;0.14607088;0.069637135;28040.16;23907.63;14120.481;2.7009127;20.967697;76.98695;839;16.440252;33;15.771739;29;7.934066;15;2.7741935;6;31.560669;176;777;1.0457604;106;43;26;30;132;50;174;199;104;4;2644;197;702;0.28062677;0.63899684;0.39274216;0.05953757;0.040814325;0.019833446;0.010413586;3335.0254;2715.736;1883.2488;19.42454;182.96448;364.6944;785;4.4795322;16;4.6666665;9;2.9705882;6;1.668919;4;14.150602;95;482;0.6866097;99;45;7;1;107;23;142;190;1;1;2641;249;440;0.5659091;0.48075452;0.38919616;0.07938258;0.05095975;0.031024477;0.010191493;2554.2168;2502.008;1734.9398;38.481403;126.76356;253.03162;1248;8.171718;15;8.398149;17;5.138889;12;2.1702127;5;10.514645;36;1302;2.959091;101;52;24;98;87;29;160;195;50;7;16;1
86;sim-0.05-0.2-10-1-2-1-1-20 ;1;Test;49025;229;934;0.24518201;0.5688404;0.37968776;0.81523776;0.5363137;0.3110396;0.07524402;59436.68;50519.652;36834.062;2.8573534;8.277874;20.159527;123;29.257282;57;24.51724;44;10.4;22;2.914163;5;66.40179;208;1;0.001070664;30;37;49;65;99;168;162;136;96;5;4564;174;925;0.1881081;0.7370715;0.34540093;0.106200196;0.05502139;0.03783213;0.012633003;7770.1147;4850.5747;3494.253;19.79764;82.02987;244.60687;1269;7.3026314;23;5.176991;16;3.2838428;10;1.6149426;4;28.74436;135;828;0.89513516;59;47;35;33;67;79;118;113;92;1;3375;226;644;0.35093167;0.49833694;0.3698875;0.03515571;0.04285112;0.031625833;0.012500501;2610.6194;2982.3008;2345.1328;42.50294;170.79227;341.2521;1794;7.605263;15;7.151899;15;4.451613;11;1.8432835;6;14.8;34;1756;2.7267082;33;13;47;57;113;159;133;137;47;3;27;1
91;sim-0.05-0.2-10-1-4-0.5-0.6-20 ;1;Test;13010;214;548;0.39051095;0.68469614;0.41149396;0.41285664;0.27606827;0.11756163;0.04606459;13948.598;17780.373;8355.141;5.0183096;30.525442;37.360737;240;9.2972975;20;11.474074;20;5.3481483;10;2.3851852;5;19.439154;110;217;0.3959854;129;63;28;2;127;16;123;178;133;3;1711;211;546;0.3864469;0.59219134;0.39359146;0.04145531;0.039734323;0.016228748;0.007147112;1867.2986;2109.0046;1090.0474;11.595978;146.89452;292.85663;706;3.776;8;5.2;9;3.0542636;7;1.2352941;3;8.105263;55;461;0.8443223;133;75;27;122;0;7;108;167;10;211;750;157;273;0.5750916;0.7496051;0.4413773;0.035516605;0.044672456;0.02169982;0.008588372;891.7197;1324.8408;828.02545;38.3813;79.755875;158.14551;387;3.25;7;3.703125;8;2.609375;7;1.4444444;4;5.1916666;25;332;1.2161173;72;52;49;99;92;60;87;101;1;2;12;2
96;sim-0.05-0.2-10-1-4-0.5-0.8-20 ;1;Test;22765;164;743;0.22072679;0.5906129;0.39871305;0.51067734;0.34808013;0.23366264;0.13897267;36298.78;19829.268;14640.244;3.609489;25.625973;39.835907;396;11.083333;24;10.494565;20;5.7582417;10;2.0053763;3;36.76259;153;346;0.46567968;54;15;1;26;48;45;123;163;124;4;2261;153;711;0.21518987;0.4666236;0.42099884;0.03865885;0.031207262;0.023927208;0.020322297;3058.8235;1470.5883;1875.817;19.753319;182.2224;182.82314;799;3.9532163;9;3.8693182;9;3.4941177;7;2.1102362;4;14.506667;103;459;0.6455696;69;16;3;27;48;12;113;138;119;1;1340;150;432;0.3472222;0.46314925;0.39860076;0.046101484;0.051411714;0.029323684;0.007446809;1913.3334;2293.3333;1826.6666;35.863995;114.49017;228.65039;675;4.3809524;13;4.552381;10;3.3586957;8;1.5306122;6;9.138686;34;637;1.474537;13;34;5;136;27;92;51;112;1;3;17;3
