1,0.000000 
2,0.000000 
3,0.000000 
4,17.899421 
5,27.362301 
6,62.868136 
7,129.986876 
8,287.018421 
9,603.076677 
10,1260.011606 
11,2749.687421 
12,5864.550539 
13,4942.742603 
14,5999.839612 
15,4537.711177 
16,5394.175511 
17,6697.535860 
18,4753.619025 
19,8541.123159 
20,6114.642201 
21,6848.616522 
22,7918.271230 
23,9057.592656 
24,5958.394798 
25,10465.465681 
26,6987.161091 
27,12167.067433 
28,7950.409428 
29,13818.198932 
30,8850.835780 
1,0.000000 
2,0.000000 
3,0.000000 
4,17.899421 
5,27.362301 
6,62.612062 
7,127.375164 
8,286.112303 
9,594.863531 
10,1249.936571 
11,2710.671168 
12,5811.623187 
13,4883.123513 
14,5955.599124 
15,4477.017777 
16,5336.673442 
17,6662.777683 
18,4722.747620 
19,8438.375366 
20,6041.201787 
21,6772.246678 
22,7870.551960 
23,8991.058803 
24,5913.204309 
25,10404.884948 
26,6929.151811 
27,12074.352414 
28,7887.642689 
29,13692.649790 
30,8778.646280 
